cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward
0, 10, 10, 2, 1, 1, 0.999, 10, 5
1, 10, 0, 3, 1, 1, 0.999, 10, 3.33333
2, 9, 9, 3, 1, 1, 0.999, 19, 4.75
3, 9, 0, 0, 1, 1, 0.999, 19, 3.8
4, 9, 0, 1, 1, 1, 0.999, 19, 3.16667
5, 10, 9, 3, 1, 1, 0.999, 28, 4
6, 9, 9, 3, 1, 1, 0.999, 37, 4.625
7, 9, 0, 2, 1, 1, 0.999, 37, 4.11111
8, 5, 9, 2, 1, 1, 0.999, 46, 4.6
9, 7, 9, 0, 1, 1, 0.999, 55, 5
10, 5, 9, 0, 1, 1, 0.999, 64, 5.33333
11, 9, 9, 1, 1, 1, 0.999, 73, 5.61538
12, 10, 9, 2, 1, 1, 0.999, 82, 5.85714
13, 10, 0, 3, 1, 1, 0.999, 82, 5.46667
14, 9, 9, 3, 1, 1, 0.999, 91, 5.6875
15, 9, 0, 2, 1, 1, 0.999, 91, 5.35294
16, 5, 9, 2, 1, 1, 0.999, 100, 5.55556
17, 7, 9, 3, 1, 1, 0.999, 109, 5.73684
18, 7, 0, 0, 1, 1, 0.999, 109, 5.45
19, 5, 9, 2, 1, 1, 0.999, 118, 5.61905
20, 7, 9, 1, 1, 1, 0.999, 127, 5.77273
21, 7, 0, 3, 1, 1, 0.999, 127, 5.52174
22, 7, 0, 1, 1, 1, 0.999, 127, 5.29167
23, 7, 0, 0, 1, 1, 0.999, 127, 5.08
24, 5, 9, 2, 1, 1, 0.999, 136, 5.23077
25, 7, 9, 2, 1, 1, 0.999, 145, 5.37037
26, 7, 0, 0, 1, 1, 0.999, 145, 5.17857
27, 5, 9, 1, 1, 1, 0.999, 154, 5.31034
28, 5, 0, 2, 1, 1, 0.999, 154, 5.13333
29, 7, 9, 1, 1, 1, 0.999, 163, 5.25806
30, 7, 0, 1, 1, 1, 0.999, 163, 5.09375
31, 7, 0, 3, 1, 1, 0.999, 163, 4.93939
32, 7, 0, 1, 1, 1, 0.999, 163, 4.79412
33, 7, 0, 1, 1, 1, 0.999, 163, 4.65714
34, 7, 0, 1, 1, 1, 0.999, 163, 4.52778
35, 7, 0, 3, 1, 1, 0.999, 163, 4.40541
36, 7, 0, 1, 1, 1, 0.999, 163, 4.28947
37, 7, 0, 3, 1, 1, 0.999, 163, 4.17949
38, 7, 0, 0, 1, 1, 0.999, 163, 4.075
39, 5, 9, 2, 1, 1, 0.999, 172, 4.19512
40, 7, 9, 0, 1, 1, 0.999, 181, 4.30952
41, 5, 9, 2, 1, 1, 0.999, 190, 4.4186
42, 7, 9, 0, 1, 1, 0.999, 199, 4.52273
43, 5, 9, 3, 1, 1, 0.999, 208, 4.62222
44, 5, 0, 3, 1, 1, 0.999, 208, 4.52174
45, 5, 0, 0, 1, 1, 0.999, 208, 4.42553
46, 9, 9, 0, 1, 1, 0.999, 217, 4.52083
47, 9, 0, 0, 1, 1, 0.999, 217, 4.42857
48, 9, 0, 2, 1, 1, 0.999, 217, 4.34
49, 5, 9, 3, 1, 1, 0.999, 226, 4.43137
50, 5, 0, 2, 1, 1, 0.999, 226, 4.34615
51, 7, 9, 2, 1, 1, 0.999, 235, 4.43396
52, 7, 0, 1, 1, 1, 0.999, 235, 4.35185
53, 7, 0, 2, 1, 1, 0.999, 235, 4.27273
54, 7, 0, 0, 1, 1, 0.999, 235, 4.19643
55, 5, 9, 0, 1, 1, 0.999, 244, 4.2807
56, 9, 9, 0, 1, 1, 0.999, 253, 4.36207
57, 9, 0, 1, 1, 1, 0.999, 253, 4.28814
58, 10, 9, 1, 1, 1, 0.999, 262, 4.36667
59, 8, 9, 3, 1, 1, 0.999, 271, 4.44262
60, 10, 9, 1, 1, 1, 0.999, 280, 4.51613
61, 8, 9, 1, 1, 1, 0.999, 289, 4.5873
62, 10, 9, 3, 1, 1, 0.999, 298, 4.65625
63, 8, 9, 3, 1, 1, 0.999, 307, 4.72308
64, 10, 9, 3, 1, 1, 0.999, 316, 4.78788
65, 9, 9, 0, 1, 1, 0.999, 325, 4.85075
66, 9, 0, 1, 1, 1, 0.999, 325, 4.77941
67, 10, 9, 1, 1, 1, 0.999, 334, 4.84058
68, 8, 9, 3, 1, 1, 0.999, 343, 4.9
69, 10, 9, 0, 1, 1, 0.999, 352, 4.95775
70, 10, 0, 3, 1, 1, 0.999, 352, 4.88889
71, 9, 9, 1, 1, 1, 0.999, 361, 4.94521
72, 10, 9, 3, 1, 1, 0.999, 370, 5
73, 9, 9, 0, 1, 1, 0.999, 379, 5.05333
74, 9, 0, 3, 1, 1, 0.999, 379, 4.98684
75, 9, 0, 1, 1, 1, 0.999, 379, 4.92208
76, 10, 9, 3, 1, 1, 0.999, 388, 4.97436
77, 9, 9, 1, 1, 1, 0.999, 397, 5.02532
78, 10, 9, 3, 1, 1, 0.999, 406, 5.075
79, 9, 9, 3, 1, 1, 0.999, 415, 5.12346
80, 9, 0, 0, 1, 1, 0.999, 415, 5.06098
81, 9, 0, 0, 1, 1, 0.999, 415, 5
82, 9, 0, 3, 1, 0, 0.999, 415, 4.94048
83, 9, 0, 1, 1, 1, 0.999, 415, 4.88235
