global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward, end of game
0, 1, 10, 10, 2, 1, 1, 0.999, 10, 5, 0
1, 2, 10, 0, 3, 1, 1, 0.99877, 10, 3.33333, 0
2, 3, 9, 9, 3, 1, 1, 0.99854, 19, 4.75, 0
3, 4, 9, 0, 0, 1, 1, 0.998311, 19, 3.8, 0
4, 5, 9, 0, 1, 1, 1, 0.998081, 19, 3.16667, 0
5, 6, 10, 9, 3, 1, 1, 0.997851, 28, 4, 0
6, 7, 9, 9, 3, 1, 1, 0.997622, 37, 4.625, 0
7, 8, 9, 0, 2, 1, 1, 0.997392, 37, 4.11111, 0
8, 9, 5, 9, 2, 1, 1, 0.997162, 46, 4.6, 0
9, 10, 7, 9, 0, 1, 1, 0.996933, 55, 5, 0
10, 11, 5, 9, 0, 1, 1, 0.996704, 64, 5.33333, 0
11, 12, 9, 9, 1, 1, 1, 0.996474, 73, 5.61538, 0
12, 13, 10, 9, 2, 1, 1, 0.996245, 82, 5.85714, 0
13, 14, 10, 0, 3, 1, 1, 0.996016, 82, 5.46667, 0
14, 15, 9, 9, 3, 1, 0, 0.995786, 91, 5.6875, 0
15, 16, 9, 0, 1, 1, 1, 0.995557, 91, 5.35294, 0
16, 17, 10, 9, 0, 1, 1, 0.995328, 100, 5.55556, 0
17, 18, 10, 0, 1, 1, 1, 0.995099, 100, 5.26316, 0
18, 19, 8, 9, 2, 1, 1, 0.99487, 109, 5.45, 0
19, 20, 5, 9, 2, 1, 1, 0.994641, 118, 5.61905, 1
20, 1, 10, 10, 0, 1, 1, 0.994412, 148, 6.43478, 0
21, 2, 10, 0, 1, 1, 1, 0.994184, 148, 6.16667, 0
22, 3, 8, 9, 1, 1, 1, 0.993955, 157, 6.28, 0
23, 4, 10, 9, 1, 1, 1, 0.993726, 166, 6.38462, 0
24, 5, 12, 9, 0, 1, 1, 0.993497, 175, 6.48148, 0
25, 6, 12, 0, 3, 1, 1, 0.993269, 175, 6.25, 0
26, 7, 10, 9, 0, 1, 1, 0.99304, 184, 6.34483, 0
27, 8, 10, 0, 2, 1, 1, 0.992812, 184, 6.13333, 0
28, 9, 10, 0, 3, 1, 1, 0.992583, 184, 5.93548, 0
29, 10, 8, 9, 0, 1, 1, 0.992355, 193, 6.03125, 0
30, 11, 8, 0, 3, 1, 1, 0.992127, 193, 5.84848, 0
31, 12, 10, 9, 1, 1, 1, 0.991898, 202, 5.94118, 0
32, 13, 8, 9, 1, 1, 1, 0.99167, 211, 6.02857, 0
33, 14, 10, 9, 2, 1, 1, 0.991442, 220, 6.11111, 0
34, 15, 10, 0, 0, 1, 1, 0.991214, 220, 5.94595, 0
35, 16, 10, 0, 1, 1, 1, 0.990986, 220, 5.78947, 0
36, 17, 12, 9, 3, 1, 1, 0.990758, 229, 5.87179, 0
37, 18, 10, 9, 3, 1, 1, 0.99053, 238, 5.95, 0
38, 19, 8, 9, 1, 1, 1, 0.990302, 247, 6.02439, 0
39, 20, 10, 9, 2, 1, 1, 0.990074, 256, 6.09524, 0
40, 21, 10, 0, 2, 1, 1, 0.989846, 256, 5.95349, 0
41, 22, 10, 0, 2, 1, 0, 0.989618, 256, 5.81818, 0
42, 23, 10, 0, 3, 1, 1, 0.98939, 256, 5.68889, 0
43, 24, 8, 9, 0, 1, 1, 0.989163, 265, 5.76087, 0
44, 25, 8, 0, 0, 1, 1, 0.988935, 265, 5.6383, 0
45, 26, 8, 0, 0, 1, 1, 0.988708, 265, 5.52083, 0
46, 27, 8, 0, 3, 1, 1, 0.98848, 265, 5.40816, 0
47, 28, 10, 9, 0, 1, 1, 0.988253, 274, 5.48, 0
48, 29, 10, 0, 1, 1, 1, 0.988025, 274, 5.37255, 0
49, 30, 8, 9, 3, 1, 1, 0.987798, 283, 5.44231, 0
50, 31, 10, 9, 0, 1, 1, 0.987571, 292, 5.50943, 0
51, 32, 10, 0, 0, 1, 1, 0.987343, 292, 5.40741, 0
52, 33, 10, 0, 1, 1, 1, 0.987116, 292, 5.30909, 0
53, 34, 8, 9, 2, 1, 1, 0.986889, 301, 5.375, 0
54, 35, 5, 9, 1, 1, 1, 0.986662, 310, 5.4386, 0
55, 36, 5, 0, 1, 1, 1, 0.986435, 310, 5.34483, 0
56, 37, 5, 0, 0, 1, 1, 0.986208, 310, 5.25424, 0
57, 38, 8, 9, 3, 1, 1, 0.985981, 319, 5.31667, 0
58, 39, 10, 9, 3, 1, 1, 0.985754, 328, 5.37705, 0
59, 40, 9, 9, 2, 1, 1, 0.985527, 337, 5.43548, 0
60, 41, 5, 9, 3, 1, 1, 0.9853, 346, 5.49206, 0
61, 42, 5, 0, 1, 1, 1, 0.985074, 346, 5.40625, 0
62, 43, 5, 0, 3, 1, 1, 0.984847, 346, 5.32308, 0
63, 44, 5, 0, 1, 1, 1, 0.98462, 346, 5.24242, 0
64, 45, 5, 0, 3, 1, 1, 0.984394, 346, 5.16418, 0
65, 46, 5, 0, 3, 1, 1, 0.984167, 346, 5.08824, 0
66, 47, 5, 0, 0, 1, 1, 0.983941, 346, 5.01449, 0
67, 48, 9, 9, 2, 1, 1, 0.983714, 355, 5.07143, 0
68, 49, 5, 9, 2, 1, 1, 0.983488, 364, 5.12676, 0
69, 50, 7, 9, 2, 1, 1, 0.983262, 373, 5.18056, 0
70, 51, 7, 0, 2, 1, 1, 0.983035, 373, 5.10959, 0
71, 52, 7, 0, 3, 1, 1, 0.982809, 373, 5.04054, 0
72, 53, 7, 0, 3, 1, 1, 0.982583, 373, 4.97333, 0
73, 54, 7, 0, 1, 1, 1, 0.982357, 373, 4.90789, 0
74, 55, 7, 0, 2, 1, 1, 0.982131, 373, 4.84416, 0
75, 56, 7, 0, 1, 1, 1, 0.981905, 373, 4.78205, 0
76, 57, 7, 0, 1, 1, 1, 0.981679, 373, 4.72152, 0
77, 58, 7, 0, 1, 1, 1, 0.981453, 373, 4.6625, 0
78, 59, 7, 0, 3, 1, 1, 0.981227, 373, 4.60494, 0
79, 60, 7, 0, 0, 1, 1, 0.981002, 373, 4.54878, 0
80, 61, 5, 9, 3, 1, 1, 0.980776, 382, 4.60241, 0
81, 62, 5, 0, 1, 1, 1, 0.98055, 382, 4.54762, 0
82, 63, 5, 0, 3, 1, 1, 0.980324, 382, 4.49412, 0
83, 64, 5, 0, 2, 1, 1, 0.980099, 382, 4.44186, 0
84, 65, 7, 9, 0, 1, 1, 0.979873, 391, 4.49425, 0
85, 66, 5, 9, 1, 1, 1, 0.979648, 400, 4.54545, 0
86, 67, 5, 0, 0, 1, 1, 0.979422, 400, 4.49438, 0
87, 68, 9, 9, 0, 1, 1, 0.979197, 409, 4.54444, 0
88, 69, 9, 0, 2, 1, 1, 0.978972, 409, 4.49451, 0
89, 70, 5, 9, 1, 1, 1, 0.978746, 418, 4.54348, 0
90, 71, 5, 0, 0, 1, 1, 0.978521, 418, 4.49462, 0
91, 72, 9, 9, 3, 1, 1, 0.978296, 427, 4.54255, 0
92, 73, 9, 0, 0, 1, 1, 0.978071, 427, 4.49474, 0
93, 74, 9, 0, 2, 1, 1, 0.977846, 427, 4.44792, 0
94, 75, 5, 9, 2, 1, 1, 0.977621, 436, 4.49485, 0
95, 76, 7, 9, 1, 1, 1, 0.977396, 445, 4.54082, 0
96, 77, 7, 0, 2, 1, 1, 0.977171, 445, 4.49495, 0
97, 78, 7, 0, 2, 1, 1, 0.976946, 445, 4.45, 0
98, 79, 7, 0, 2, 1, 1, 0.976721, 445, 4.40594, 0
99, 80, 7, 0, 2, 1, 1, 0.976497, 445, 4.36275, 0
100, 81, 7, 0, 0, 1, 1, 0.976272, 445, 4.32039, 0
101, 82, 5, 9, 0, 1, 1, 0.976047, 454, 4.36538, 0
102, 83, 9, 9, 3, 1, 1, 0.975823, 463, 4.40952, 0
103, 84, 9, 0, 0, 1, 0, 0.975598, 463, 4.36792, 0
104, 85, 9, 0, 2, 1, 1, 0.975374, 463, 4.3271, 0
105, 86, 5, 9, 1, 1, 1, 0.975149, 472, 4.37037, 0
106, 87, 5, 0, 1, 1, 1, 0.974925, 472, 4.33028, 0
107, 88, 5, 0, 3, 1, 0, 0.9747, 472, 4.29091, 0
108, 89, 5, 0, 2, 1, 1, 0.974476, 472, 4.25225, 0
109, 90, 7, 9, 3, 1, 1, 0.974252, 481, 4.29464, 0
110, 91, 7, 0, 1, 1, 1, 0.974028, 481, 4.25664, 0
111, 92, 7, 0, 1, 1, 1, 0.973804, 481, 4.2193, 0
112, 93, 7, 0, 0, 1, 1, 0.97358, 481, 4.18261, 0
113, 94, 5, 9, 3, 1, 1, 0.973355, 490, 4.22414, 0
114, 95, 5, 0, 1, 1, 1, 0.973131, 490, 4.18803, 0
115, 96, 5, 0, 0, 1, 1, 0.972908, 490, 4.15254, 0
116, 97, 9, 9, 2, 1, 1, 0.972684, 499, 4.19328, 0
117, 98, 5, 9, 1, 1, 0, 0.97246, 508, 4.23333, 0
118, 99, 5, 0, 1, 1, 1, 0.972236, 508, 4.19835, 0
119, 100, 5, 0, 0, 1, 1, 0.972012, 508, 4.16393, 0
120, 101, 9, 9, 3, 1, 1, 0.971789, 517, 4.20325, 0
121, 102, 9, 0, 0, 1, 1, 0.971565, 517, 4.16935, 0
