global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward, end of game
0, 1, 10, 10, 2, 1, 1, 0.999, 10, 5, 0
1, 2, 10, 0, 3, 1, 1, 0.998081, 10, 3.33333, 0
2, 3, 9, 9, 3, 1, 1, 0.997162, 19, 4.75, 0
3, 4, 9, 0, 0, 1, 1, 0.996244, 19, 3.8, 0
4, 5, 9, 0, 1, 1, 1, 0.995327, 19, 3.16667, 0
5, 6, 10, 9, 3, 1, 1, 0.994411, 28, 4, 0
6, 7, 9, 9, 3, 1, 1, 0.993496, 37, 4.625, 0
7, 8, 9, 0, 2, 1, 1, 0.992581, 37, 4.11111, 0
8, 9, 5, 9, 2, 1, 1, 0.991668, 46, 4.6, 0
9, 10, 7, 9, 0, 1, 1, 0.990755, 55, 5, 0
10, 11, 5, 9, 0, 1, 1, 0.989843, 64, 5.33333, 0
11, 12, 9, 9, 1, 1, 1, 0.988932, 73, 5.61538, 0
12, 13, 10, 9, 2, 1, 1, 0.988022, 82, 5.85714, 0
13, 14, 10, 0, 3, 1, 1, 0.987112, 82, 5.46667, 0
14, 15, 9, 9, 1, 1, 0, 0.986204, 91, 5.6875, 0
15, 16, 10, 9, 3, 1, 1, 0.985296, 100, 5.88235, 0
16, 17, 9, 9, 1, 1, 1, 0.984389, 109, 6.05556, 0
17, 18, 10, 9, 2, 1, 1, 0.983483, 118, 6.21053, 0
18, 19, 10, 0, 2, 1, 1, 0.982578, 118, 5.9, 0
19, 20, 10, 0, 0, 1, 1, 0.981674, 118, 5.61905, 0
20, 21, 10, 0, 0, 1, 1, 0.98077, 118, 5.36364, 0
21, 22, 10, 0, 2, 1, 1, 0.979867, 118, 5.13043, 0
22, 23, 10, 0, 0, 1, 1, 0.978966, 118, 4.91667, 0
23, 24, 10, 0, 3, 1, 1, 0.978064, 118, 4.72, 0
24, 25, 9, 9, 3, 1, 1, 0.977164, 127, 4.88462, 0
