global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward
0, 1, 0, 1, 2, 1, 1, 0.9, 1, 0.5
1, 2, 1, 2, 2, 1, 1, 0.9, 3, 1
2, 3, 0, 0, 2, 1, 1, 0.9, 3, 0.75
3, 4, 0, 0, 0, 1, 0, 0.9, 3, 0.6
4, 5, 0, 1, 0, 1, 1, 0.9, 4, 0.666667
5, 6, 0, 1, 2, 1, 1, 0.9, 5, 0.714286
6, 7, 2, 1, 1, 1, 1, 0.9, 6, 0.75
7, 8, 0, 2, 1, 1, 1, 0.9, 8, 0.888889
8, 9, 1, 1, 2, 1, 0, 0.9, 9, 0.9
9, 10, 1, 2, 1, 1, 1, 0.9, 11, 1
10, 11, 2, 0, 2, 1, 1, 0.9, 11, 0.916667
11, 12, 2, 1, 1, 1, 1, 0.9, 12, 0.923077
12, 13, 1, 1, 0, 1, 1, 0.9, 13, 0.928571
13, 14, 2, 2, 0, 1, 1, 0.9, 15, 1
14, 15, 1, 0, 2, 1, 1, 0.9, 15, 0.9375
15, 16, 1, 2, 1, 1, 1, 0.9, 17, 1
16, 17, 2, 0, 1, 1, 1, 0.9, 17, 0.944444
17, 18, 2, 0, 2, 1, 1, 0.9, 17, 0.894737
18, 19, 2, 1, 1, 1, 1, 0.9, 18, 0.9
19, 20, 1, 1, 2, 1, 0, 0.9, 19, 0.904762
20, 21, 0, 0, 2, 1, 1, 0.9, 19, 0.863636
21, 22, 0, 0, 1, 1, 1, 0.9, 19, 0.826087
22, 23, 0, 2, 1, 1, 1, 0.9, 21, 0.875
23, 24, 0, 2, 2, 1, 1, 0.9, 23, 0.92
24, 25, 0, 0, 2, 1, 1, 0.9, 23, 0.884615
25, 26, 0, 0, 2, 1, 1, 0.9, 23, 0.851852
26, 27, 0, 0, 2, 1, 1, 0.9, 23, 0.821429
27, 28, 0, 0, 1, 1, 1, 0.9, 23, 0.793103
28, 29, 0, 2, 2, 1, 1, 0.9, 25, 0.833333
29, 30, 0, 0, 2, 1, 1, 0.9, 25, 0.806452
30, 31, 0, 0, 2, 1, 1, 0.9, 25, 0.78125
31, 32, 0, 0, 1, 1, 1, 0.9, 25, 0.757576
32, 33, 0, 2, 2, 1, 1, 0.9, 27, 0.794118
33, 34, 2, 1, 2, 1, 1, 0.9, 28, 0.8
34, 35, 1, 2, 1, 1, 1, 0.9, 30, 0.833333
35, 36, 2, 0, 0, 1, 1, 0.9, 30, 0.810811
36, 37, 2, 2, 1, 1, 1, 0.9, 32, 0.842105
37, 38, 2, 0, 2, 1, 0, 0.9, 32, 0.820513
38, 39, 2, 1, 1, 1, 1, 0.9, 33, 0.825
39, 40, 2, 0, 2, 1, 1, 0.9, 33, 0.804878
40, 41, 2, 1, 0, 1, 1, 0.9, 34, 0.809524
41, 42, 2, 2, 2, 1, 1, 0.9, 36, 0.837209
42, 43, 0, 0, 1, 1, 1, 0.9, 36, 0.818182
43, 44, 0, 2, 0, 1, 1, 0.9, 38, 0.844444
44, 45, 0, 1, 0, 1, 1, 0.9, 39, 0.847826
45, 46, 2, 2, 2, 1, 1, 0.9, 41, 0.87234
46, 47, 2, 1, 2, 1, 0, 0.9, 42, 0.875
47, 48, 1, 2, 0, 1, 1, 0.9, 44, 0.897959
48, 49, 1, 0, 2, 1, 1, 0.9, 44, 0.88
49, 50, 1, 2, 1, 1, 1, 0.9, 46, 0.901961
50, 51, 1, 1, 0, 1, 1, 0.9, 47, 0.903846
51, 52, 1, 0, 1, 1, 1, 0.9, 47, 0.886792
52, 53, 1, 1, 2, 1, 1, 0.9, 48, 0.888889
53, 54, 0, 0, 2, 1, 1, 0.9, 48, 0.872727
54, 55, 0, 0, 2, 1, 1, 0.9, 48, 0.857143
55, 56, 0, 0, 0, 1, 1, 0.9, 48, 0.842105
56, 57, 0, 1, 0, 1, 1, 0.9, 49, 0.844828
57, 58, 1, 0, 1, 1, 1, 0.9, 49, 0.830508
58, 59, 1, 1, 0, 1, 1, 0.9, 50, 0.833333
59, 60, 2, 2, 2, 1, 1, 0.9, 52, 0.852459
60, 61, 1, 2, 0, 1, 1, 0.9, 54, 0.870968
61, 62, 2, 2, 2, 1, 1, 0.9, 56, 0.888889
62, 63, 2, 1, 2, 1, 1, 0.9, 57, 0.890625
63, 64, 0, 0, 0, 1, 1, 0.9, 57, 0.876923
64, 65, 0, 1, 1, 1, 0, 0.9, 58, 0.878788
65, 66, 2, 0, 2, 1, 1, 0.9, 58, 0.865672
66, 67, 2, 1, 1, 1, 1, 0.9, 59, 0.867647
67, 68, 1, 1, 1, 1, 1, 0.9, 60, 0.869565
68, 69, 2, 0, 0, 1, 1, 0.9, 60, 0.857143
69, 70, 2, 2, 2, 1, 1, 0.9, 62, 0.873239
70, 71, 2, 1, 0, 1, 1, 0.9, 63, 0.875
71, 72, 1, 0, 1, 1, 1, 0.9, 63, 0.863014
72, 73, 1, 1, 1, 1, 0, 0.9, 64, 0.864865
73, 74, 1, 1, 1, 1, 1, 0.9, 65, 0.866667
74, 75, 2, 0, 1, 1, 1, 0.9, 65, 0.855263
75, 76, 2, 0, 1, 1, 1, 0.9, 65, 0.844156
76, 77, 2, 0, 2, 1, 0, 0.9, 65, 0.833333
77, 78, 2, 1, 1, 1, 1, 0.9, 66, 0.835443
78, 79, 2, 0, 2, 1, 0, 0.9, 66, 0.825
79, 80, 2, 1, 0, 1, 1, 0.9, 67, 0.82716
80, 81, 1, 0, 0, 1, 1, 0.9, 67, 0.817073
81, 82, 1, 0, 2, 1, 0, 0.9, 67, 0.807229
82, 83, 1, 2, 2, 1, 1, 0.9, 69, 0.821429
83, 84, 0, 0, 2, 1, 0, 0.9, 69, 0.811765
84, 85, 0, 0, 1, 1, 1, 0.9, 69, 0.802326
85, 86, 0, 2, 1, 1, 1, 0.9, 71, 0.816092
86, 87, 0, 2, 2, 1, 1, 0.9, 73, 0.829545
87, 88, 0, 0, 1, 1, 1, 0.9, 73, 0.820225
88, 89, 0, 2, 0, 1, 1, 0.9, 75, 0.833333
89, 90, 2, 2, 0, 1, 1, 0.9, 77, 0.846154
90, 91, 2, 2, 2, 1, 0, 0.9, 79, 0.858696
91, 92, 1, 2, 2, 1, 1, 0.9, 81, 0.870968
92, 93, 2, 1, 0, 1, 1, 0.9, 82, 0.87234
93, 94, 0, 1, 1, 1, 1, 0.9, 83, 0.873684
94, 95, 2, 0, 2, 1, 1, 0.9, 83, 0.864583
95, 96, 2, 1, 0, 1, 1, 0.9, 84, 0.865979
96, 97, 1, 0, 2, 1, 1, 0.9, 84, 0.857143
97, 98, 1, 2, 1, 1, 1, 0.9, 86, 0.868687
98, 99, 0, 2, 2, 1, 0, 0.9, 88, 0.88
99, 100, 1, 2, 2, 1, 1, 0.9, 90, 0.891089
100, 101, 2, 1, 1, 1, 1, 0.9, 91, 0.892157
101, 102, 0, 2, 0, 1, 1, 0.9, 93, 0.902913
102, 103, 0, 1, 2, 1, 1, 0.9, 94, 0.903846
103, 104, 1, 2, 2, 1, 1, 0.9, 96, 0.914286
104, 105, 1, 2, 1, 1, 1, 0.9, 98, 0.924528
105, 106, 2, 0, 0, 1, 1, 0.9, 98, 0.915888
106, 107, 2, 2, 1, 1, 1, 0.9, 100, 0.925926
107, 108, 0, 2, 1, 1, 1, 0.9, 102, 0.93578
108, 109, 2, 0, 2, 1, 1, 0.9, 102, 0.927273
109, 110, 2, 1, 0, 1, 1, 0.9, 103, 0.927928
110, 111, 0, 1, 2, 1, 1, 0.9, 104, 0.928571
111, 112, 0, 0, 2, 1, 1, 0.9, 104, 0.920354
112, 113, 0, 0, 1, 1, 1, 0.9, 104, 0.912281
113, 114, 0, 2, 0, 1, 0, 0.9, 106, 0.921739
114, 115, 1, 0, 2, 1, 1, 0.9, 106, 0.913793
115, 116, 1, 2, 0, 1, 1, 0.9, 108, 0.923077
116, 117, 2, 2, 2, 1, 1, 0.9, 110, 0.932203
117, 118, 1, 2, 2, 1, 1, 0.9, 112, 0.941176
118, 119, 0, 0, 2, 1, 1, 0.9, 112, 0.933333
119, 120, 0, 0, 1, 1, 0, 0.9, 112, 0.92562
120, 121, 0, 2, 0, 1, 1, 0.9, 114, 0.934426
121, 122, 0, 1, 1, 1, 1, 0.9, 115, 0.934959
122, 123, 1, 1, 2, 1, 1, 0.9, 116, 0.935484
123, 124, 0, 0, 2, 1, 1, 0.9, 116, 0.928
