global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward, end of game
0, 1, 0, 1, 2, 1, 1, 0.999, 1, 0.5, 0
1, 2, 1, 2, 2, 1, 1, 0.998001, 3, 1, 0
2, 3, 0, 0, 2, 1, 1, 0.997003, 3, 0.75, 0
3, 4, 0, 0, 0, 1, 1, 0.996006, 3, 0.6, 0
4, 5, 0, 1, 0, 1, 1, 0.99501, 4, 0.666667, 0
5, 6, 0, 1, 2, 1, 1, 0.994015, 5, 0.714286, 0
6, 7, 2, 1, 1, 1, 1, 0.993021, 6, 0.75, 0
7, 8, 0, 2, 1, 1, 1, 0.992028, 8, 0.888889, 0
8, 9, 1, 1, 1, 1, 1, 0.991036, 9, 0.9, 0
9, 10, 1, 1, 0, 1, 1, 0.990045, 10, 0.909091, 0
10, 11, 1, 0, 1, 1, 1, 0.989055, 10, 0.833333, 0
11, 12, 1, 1, 2, 1, 1, 0.988066, 11, 0.846154, 0
12, 13, 0, 0, 0, 1, 1, 0.987078, 11, 0.785714, 0
13, 14, 0, 1, 1, 1, 1, 0.986091, 12, 0.8, 0
14, 15, 2, 0, 1, 1, 1, 0.985105, 12, 0.75, 0
15, 16, 2, 0, 1, 1, 1, 0.984119, 12, 0.705882, 0
16, 17, 2, 0, 2, 1, 1, 0.983135, 12, 0.666667, 0
17, 18, 2, 1, 2, 1, 1, 0.982152, 13, 0.684211, 0
18, 19, 2, 1, 1, 1, 1, 0.98117, 14, 0.7, 0
19, 20, 2, 0, 1, 1, 1, 0.980189, 14, 0.666667, 0
20, 21, 2, 0, 1, 1, 1, 0.979209, 14, 0.636364, 0
21, 22, 2, 0, 0, 1, 1, 0.978229, 14, 0.608696, 0
22, 23, 2, 2, 0, 1, 1, 0.977251, 16, 0.666667, 0
23, 24, 0, 1, 1, 1, 1, 0.976274, 17, 0.68, 0
24, 25, 1, 1, 2, 1, 1, 0.975298, 18, 0.692308, 0
25, 26, 1, 2, 0, 1, 1, 0.974322, 20, 0.740741, 0
26, 27, 2, 2, 1, 1, 1, 0.973348, 22, 0.785714, 0
27, 28, 1, 1, 1, 1, 1, 0.972375, 23, 0.793103, 0
28, 29, 1, 1, 2, 1, 1, 0.971402, 24, 0.8, 0
29, 30, 0, 0, 2, 1, 1, 0.970431, 24, 0.774194, 0
