global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward, end of game
0, 1, 2, 1, 0, 1, 1, 0.999, 1, 0.5, 0
1, 2, 2, 2, 1, 1, 1, 0.99874, 3, 1, 0
2, 3, 1, 1, 0, 1, 1, 0.998481, 4, 1, 0
3, 4, 1, 0, 1, 1, 1, 0.998221, 4, 0.8, 0
4, 5, 1, 1, 1, 1, 1, 0.997961, 5, 0.833333, 0
5, 6, 2, 0, 0, 1, 1, 0.997702, 5, 0.714286, 0
6, 7, 2, 2, 1, 1, 1, 0.997443, 7, 0.875, 0
7, 8, 1, 1, 2, 1, 1, 0.997183, 8, 0.888889, 0
8, 9, 0, 0, 2, 1, 1, 0.996924, 8, 0.8, 0
9, 10, 0, 0, 2, 1, 1, 0.996665, 8, 0.727273, 0
10, 11, 0, 0, 1, 1, 1, 0.996406, 8, 0.666667, 0
11, 12, 0, 2, 2, 1, 1, 0.996147, 10, 0.769231, 0
12, 13, 2, 1, 0, 1, 1, 0.995888, 11, 0.785714, 0
13, 14, 1, 0, 1, 1, 1, 0.995629, 11, 0.733333, 0
14, 15, 1, 1, 1, 1, 1, 0.99537, 12, 0.75, 0
15, 16, 2, 0, 0, 1, 1, 0.995111, 12, 0.705882, 0
16, 17, 2, 2, 2, 1, 1, 0.994852, 14, 0.777778, 0
17, 18, 0, 0, 2, 1, 1, 0.994594, 14, 0.736842, 0
18, 19, 0, 0, 2, 1, 1, 0.994335, 14, 0.7, 0
19, 20, 0, 0, 2, 1, 1, 0.994076, 14, 0.666667, 0
20, 21, 0, 0, 1, 1, 1, 0.993818, 14, 0.636364, 0
21, 22, 0, 2, 2, 1, 1, 0.99356, 16, 0.695652, 0
22, 23, 1, 2, 2, 1, 1, 0.993301, 18, 0.75, 0
23, 24, 1, 2, 0, 1, 1, 0.993043, 20, 0.8, 0
24, 25, 2, 2, 0, 1, 1, 0.992785, 22, 0.846154, 0
25, 26, 0, 1, 1, 1, 1, 0.992527, 23, 0.851852, 0
26, 27, 2, 0, 2, 1, 1, 0.992269, 23, 0.821429, 0
27, 28, 2, 1, 0, 1, 1, 0.992011, 24, 0.827586, 0
28, 29, 1, 0, 2, 1, 1, 0.991753, 24, 0.8, 0
29, 30, 1, 2, 2, 1, 1, 0.991495, 26, 0.83871, 0
30, 31, 2, 1, 2, 1, 1, 0.991237, 27, 0.84375, 0
31, 32, 2, 1, 0, 1, 1, 0.990979, 28, 0.848485, 0
32, 33, 2, 2, 0, 1, 1, 0.990722, 30, 0.882353, 0
33, 34, 0, 1, 2, 1, 1, 0.990464, 31, 0.885714, 0
34, 35, 2, 1, 0, 1, 1, 0.990207, 32, 0.888889, 0
35, 36, 1, 0, 1, 1, 1, 0.989949, 32, 0.864865, 0
36, 37, 1, 1, 1, 1, 1, 0.989692, 33, 0.868421, 0
37, 38, 2, 0, 2, 1, 1, 0.989434, 33, 0.846154, 0
38, 39, 2, 1, 1, 1, 1, 0.989177, 34, 0.85, 0
39, 40, 2, 0, 2, 1, 1, 0.98892, 34, 0.829268, 0
40, 41, 2, 1, 2, 1, 1, 0.988663, 35, 0.833333, 0
41, 42, 1, 2, 0, 1, 1, 0.988406, 37, 0.860465, 0
42, 43, 2, 2, 1, 1, 1, 0.988149, 39, 0.886364, 0
43, 44, 0, 2, 1, 1, 1, 0.987892, 41, 0.911111, 0
44, 45, 1, 1, 1, 1, 1, 0.987635, 42, 0.913043, 0
45, 46, 2, 0, 0, 1, 1, 0.987378, 42, 0.893617, 0
