global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward, end of game
0, 1, 2, 1, 0, 1, 1, 0.99, 1, 0.5, 0
1, 2, 2, 2, 1, 1, 1, 0.987721, 3, 1, 0
2, 3, 1, 1, 0, 1, 1, 0.985448, 4, 1, 0
3, 4, 1, 0, 1, 1, 1, 0.983179, 4, 0.8, 0
4, 5, 1, 1, 1, 1, 1, 0.980916, 5, 0.833333, 0
5, 6, 2, 0, 0, 1, 1, 0.978658, 5, 0.714286, 0
6, 7, 2, 2, 1, 1, 1, 0.976406, 7, 0.875, 0
7, 8, 1, 1, 2, 1, 1, 0.974158, 8, 0.888889, 0
8, 9, 0, 0, 2, 1, 1, 0.971916, 8, 0.8, 0
9, 10, 0, 0, 2, 1, 1, 0.969679, 8, 0.727273, 0
10, 11, 0, 0, 1, 1, 1, 0.967447, 8, 0.666667, 0
11, 12, 0, 2, 2, 1, 1, 0.96522, 10, 0.769231, 0
12, 13, 2, 1, 0, 1, 1, 0.962998, 11, 0.785714, 0
13, 14, 1, 0, 1, 1, 1, 0.960781, 11, 0.733333, 0
14, 15, 1, 1, 1, 1, 0, 0.95857, 12, 0.75, 0
15, 16, 2, 0, 2, 1, 1, 0.956363, 12, 0.705882, 0
16, 17, 2, 1, 1, 1, 1, 0.954162, 13, 0.722222, 0
17, 18, 1, 1, 2, 1, 1, 0.951966, 14, 0.736842, 0
18, 19, 0, 0, 1, 1, 1, 0.949774, 14, 0.7, 0
19, 20, 0, 2, 0, 1, 1, 0.947588, 16, 0.761905, 0
20, 21, 1, 0, 2, 1, 1, 0.945407, 16, 0.727273, 0
21, 22, 1, 2, 2, 1, 1, 0.943231, 18, 0.782609, 0
22, 23, 0, 0, 2, 1, 0, 0.94106, 18, 0.75, 0
23, 24, 0, 0, 1, 1, 1, 0.938894, 18, 0.72, 0
24, 25, 0, 2, 0, 1, 1, 0.936732, 20, 0.769231, 0
25, 26, 2, 2, 0, 1, 1, 0.934576, 22, 0.814815, 0
26, 27, 0, 1, 0, 1, 1, 0.932425, 23, 0.821429, 0
27, 28, 1, 0, 0, 1, 1, 0.930279, 23, 0.793103, 0
28, 29, 1, 0, 2, 1, 1, 0.928137, 23, 0.766667, 0
29, 30, 1, 2, 0, 1, 1, 0.926001, 25, 0.806452, 0
30, 31, 2, 2, 2, 1, 1, 0.923869, 27, 0.84375, 0
31, 32, 2, 1, 1, 1, 0, 0.921743, 28, 0.848485, 0
32, 33, 1, 1, 2, 1, 1, 0.919621, 29, 0.852941, 0
33, 34, 1, 2, 0, 1, 1, 0.917504, 31, 0.885714, 0
34, 35, 2, 2, 0, 1, 1, 0.915392, 33, 0.916667, 0
35, 36, 2, 2, 2, 1, 1, 0.913285, 35, 0.945946, 0
36, 37, 0, 0, 1, 1, 1, 0.911183, 35, 0.921053, 0
37, 38, 0, 2, 2, 1, 1, 0.909086, 37, 0.948718, 0
38, 39, 1, 2, 1, 1, 1, 0.906993, 39, 0.975, 0
39, 40, 1, 1, 2, 1, 1, 0.904905, 40, 0.97561, 0
40, 41, 2, 1, 2, 1, 1, 0.902823, 41, 0.97619, 0
