global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward, end of game
0, 1, 2, 1, 0, 1, 1, 0.999, 1, 0.5, 0
1, 2, 2, 2, 1, 1, 1, 0.99899, 3, 1, 0
2, 3, 1, 1, 0, 1, 1, 0.99898, 4, 1, 0
3, 4, 1, 0, 1, 1, 1, 0.99897, 4, 0.8, 0
4, 5, 1, 1, 1, 1, 1, 0.99896, 5, 0.833333, 0
5, 6, 2, 0, 0, 1, 1, 0.99895, 5, 0.714286, 0
6, 7, 2, 2, 1, 1, 1, 0.99894, 7, 0.875, 0
7, 8, 1, 1, 2, 1, 1, 0.99893, 8, 0.888889, 0
8, 9, 0, 0, 2, 1, 1, 0.99892, 8, 0.8, 0
9, 10, 0, 0, 2, 1, 1, 0.99891, 8, 0.727273, 0
10, 11, 0, 0, 1, 1, 1, 0.9989, 8, 0.666667, 0
11, 12, 0, 2, 2, 1, 1, 0.99889, 10, 0.769231, 0
12, 13, 2, 1, 0, 1, 1, 0.99888, 11, 0.785714, 0
13, 14, 1, 0, 1, 1, 1, 0.99887, 11, 0.733333, 0
14, 15, 1, 1, 1, 1, 1, 0.99886, 12, 0.75, 0
15, 16, 2, 0, 0, 1, 1, 0.99885, 12, 0.705882, 0
16, 17, 2, 2, 2, 1, 1, 0.99884, 14, 0.777778, 0
17, 18, 0, 0, 2, 1, 1, 0.99883, 14, 0.736842, 0
18, 19, 0, 0, 2, 1, 1, 0.99882, 14, 0.7, 0
19, 20, 0, 0, 2, 1, 1, 0.99881, 14, 0.666667, 0
20, 21, 0, 0, 1, 1, 1, 0.9988, 14, 0.636364, 0
21, 22, 0, 2, 2, 1, 1, 0.99879, 16, 0.695652, 0
22, 23, 1, 2, 2, 1, 1, 0.99878, 18, 0.75, 0
23, 24, 1, 2, 0, 1, 1, 0.99877, 20, 0.8, 0
24, 25, 2, 2, 0, 1, 1, 0.99876, 22, 0.846154, 0
25, 26, 0, 1, 1, 1, 1, 0.99875, 23, 0.851852, 0
26, 27, 2, 0, 2, 1, 1, 0.99874, 23, 0.821429, 0
27, 28, 2, 1, 0, 1, 1, 0.99873, 24, 0.827586, 0
28, 29, 1, 0, 2, 1, 1, 0.99872, 24, 0.8, 0
29, 30, 1, 2, 2, 1, 1, 0.99871, 26, 0.83871, 0
30, 31, 2, 1, 2, 1, 1, 0.9987, 27, 0.84375, 0
31, 32, 2, 1, 0, 1, 1, 0.99869, 28, 0.848485, 0
32, 33, 2, 2, 0, 1, 1, 0.99868, 30, 0.882353, 0
33, 34, 0, 1, 2, 1, 1, 0.99867, 31, 0.885714, 0
34, 35, 2, 1, 0, 1, 1, 0.99866, 32, 0.888889, 0
35, 36, 1, 0, 1, 1, 1, 0.99865, 32, 0.864865, 0
36, 37, 1, 1, 1, 1, 1, 0.99864, 33, 0.868421, 0
37, 38, 2, 0, 2, 1, 1, 0.99863, 33, 0.846154, 0
38, 39, 2, 1, 1, 1, 1, 0.99862, 34, 0.85, 0
39, 40, 2, 0, 2, 1, 1, 0.99861, 34, 0.829268, 0
40, 41, 2, 1, 2, 1, 1, 0.9986, 35, 0.833333, 0
41, 42, 1, 2, 0, 1, 1, 0.99859, 37, 0.860465, 0
42, 43, 2, 2, 1, 1, 1, 0.998581, 39, 0.886364, 0
43, 44, 0, 2, 1, 1, 1, 0.998571, 41, 0.911111, 0
44, 45, 1, 1, 1, 1, 1, 0.998561, 42, 0.913043, 0
45, 46, 2, 0, 0, 1, 1, 0.998551, 42, 0.893617, 0
46, 47, 2, 2, 1, 1, 1, 0.998541, 44, 0.916667, 0
47, 48, 2, 0, 0, 1, 1, 0.998531, 44, 0.897959, 0
48, 49, 2, 2, 0, 1, 1, 0.998521, 46, 0.92, 0
49, 50, 1, 0, 1, 1, 1, 0.998511, 46, 0.901961, 0
50, 51, 1, 1, 0, 1, 1, 0.998501, 47, 0.903846, 0
51, 52, 0, 1, 1, 1, 1, 0.998491, 48, 0.90566, 0
52, 53, 2, 0, 2, 1, 1, 0.998481, 48, 0.888889, 0
53, 54, 2, 1, 0, 1, 1, 0.998471, 49, 0.890909, 0
54, 55, 0, 1, 0, 1, 1, 0.998461, 50, 0.892857, 0
55, 56, 0, 1, 0, 1, 1, 0.998451, 51, 0.894737, 0
56, 57, 1, 0, 1, 1, 1, 0.998441, 51, 0.87931, 0
57, 58, 1, 1, 0, 1, 1, 0.998431, 52, 0.881356, 0
58, 59, 0, 1, 1, 1, 1, 0.998421, 53, 0.883333, 0
59, 60, 0, 2, 1, 1, 1, 0.998411, 55, 0.901639, 0
60, 61, 2, 0, 1, 1, 1, 0.998401, 55, 0.887097, 0
61, 62, 2, 0, 2, 1, 1, 0.998391, 55, 0.873016, 0
62, 63, 2, 1, 2, 1, 0, 0.998381, 56, 0.875, 0
63, 64, 2, 1, 1, 1, 1, 0.998371, 57, 0.876923, 0
64, 65, 2, 0, 1, 1, 1, 0.998361, 57, 0.863636, 0
65, 66, 2, 0, 1, 1, 1, 0.998351, 57, 0.850746, 0
66, 67, 2, 0, 0, 1, 1, 0.998341, 57, 0.838235, 0
67, 68, 2, 2, 0, 1, 1, 0.998331, 59, 0.855072, 0
68, 69, 0, 1, 1, 1, 1, 0.998321, 60, 0.857143, 0
69, 70, 2, 0, 2, 1, 1, 0.998311, 60, 0.84507, 0
70, 71, 2, 1, 1, 1, 1, 0.998301, 61, 0.847222, 0
71, 72, 2, 0, 2, 1, 1, 0.998291, 61, 0.835616, 0
72, 73, 2, 1, 1, 1, 1, 0.998281, 62, 0.837838, 0
73, 74, 2, 0, 2, 1, 1, 0.998271, 62, 0.826667, 0
74, 75, 2, 1, 2, 1, 1, 0.998261, 63, 0.828947, 0
75, 76, 0, 0, 2, 1, 1, 0.998251, 63, 0.818182, 0
76, 77, 0, 0, 0, 1, 1, 0.998241, 63, 0.807692, 0
77, 78, 0, 1, 1, 1, 1, 0.998231, 64, 0.810127, 0
78, 79, 1, 1, 1, 1, 1, 0.998221, 65, 0.8125, 0
79, 80, 0, 2, 2, 1, 1, 0.998211, 67, 0.82716, 0
80, 81, 0, 0, 0, 1, 1, 0.998201, 67, 0.817073, 0
81, 82, 0, 1, 0, 1, 1, 0.998191, 68, 0.819277, 0
82, 83, 1, 0, 2, 1, 1, 0.998181, 68, 0.809524, 0
83, 84, 1, 2, 0, 1, 1, 0.998171, 70, 0.823529, 0
84, 85, 2, 2, 2, 1, 1, 0.998161, 72, 0.837209, 0
85, 86, 1, 2, 2, 1, 1, 0.998151, 74, 0.850575, 0
86, 87, 1, 2, 1, 1, 1, 0.998141, 76, 0.863636, 0
87, 88, 1, 1, 0, 1, 1, 0.998131, 77, 0.865169, 0
88, 89, 0, 1, 2, 1, 1, 0.998121, 78, 0.866667, 0
89, 90, 2, 1, 0, 1, 1, 0.998111, 79, 0.868132, 0
90, 91, 2, 2, 1, 1, 1, 0.998101, 81, 0.880435, 0
91, 92, 0, 2, 1, 1, 1, 0.998091, 83, 0.892473, 0
92, 93, 1, 1, 0, 1, 1, 0.998081, 84, 0.893617, 0
93, 94, 2, 2, 0, 1, 1, 0.998071, 86, 0.905263, 0
94, 95, 1, 0, 0, 1, 1, 0.998061, 86, 0.895833, 0
