global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward, end of game
0, 1, 0, 3, 7, 1, 1, 0.9999, 3, 1.5, 0
1, 2, 24576, 3, 4, 1, 1, 0.999823, 6, 2, 0
2, 3, 24840, 3, 8, 1, 1, 0.999747, 9, 2.25, 0
3, 4, 90504, 3, 0, 1, 1, 0.99967, 12, 2.4, 0
4, 5, 90505, 5, 6, 1, 1, 0.999593, 17, 2.83333, 1
5, 1, 0, 3, 0, 1, 1, 0.999516, 20, 2.85714, 0
6, 2, 2049, 3, 7, 1, 1, 0.99944, 23, 2.875, 0
7, 3, 18561, 3, 6, 1, 1, 0.999363, 26, 2.88889, 0
8, 4, 23169, 3, 2, 1, 1, 0.999286, 29, 2.9, 0
9, 5, 154257, 3, 6, 1, 1, 0.99921, 32, 2.90909, 0
10, 6, 154257, 0, 8, 1, 1, 0.999133, 32, 2.66667, 0
11, 7, 154257, 0, 7, 1, 1, 0.999056, 32, 2.46154, 0
12, 8, 154257, 0, 5, 1, 1, 0.99898, 32, 2.28571, 0
13, 9, 154257, 0, 8, 1, 1, 0.998903, 32, 2.13333, 0
14, 10, 154257, 0, 1, 1, 1, 0.998826, 32, 2, 0
15, 11, 154261, 5, 0, 1, 1, 0.99875, 37, 2.17647, 1
16, 1, 0, 3, 1, 1, 1, 0.998673, 40, 2.22222, 0
17, 2, 131076, 3, 0, 1, 1, 0.998596, 43, 2.26316, 0
18, 3, 133125, 3, 2, 1, 1, 0.99852, 46, 2.3, 0
19, 4, 133141, 5, 6, 1, 1, 0.998443, 51, 2.42857, 1
20, 1, 0, 3, 8, 1, 1, 0.998366, 54, 2.45455, 0
21, 2, 65664, 3, 1, 1, 1, 0.99829, 57, 2.47826, 0
22, 3, 66180, 3, 3, 1, 1, 0.998213, 60, 2.5, 0
23, 4, 66180, 0, 3, 1, 1, 0.998136, 60, 2.4, 0
24, 5, 66180, 0, 7, 1, 1, 0.99806, 60, 2.30769, 0
25, 6, 84612, 3, 8, 1, 1, 0.997983, 63, 2.33333, 0
26, 7, 84612, 0, 1, 1, 1, 0.997907, 63, 2.25, 0
27, 8, 84612, 0, 0, 1, 1, 0.99783, 63, 2.17241, 0
28, 9, 92805, 3, 4, 1, 1, 0.997753, 66, 2.2, 0
29, 10, 92805, 0, 7, 1, 1, 0.997677, 66, 2.12903, 0
30, 11, 92805, 0, 6, 1, 1, 0.9976, 66, 2.0625, 0
31, 12, 92805, 0, 5, 1, 1, 0.997524, 66, 2, 0
32, 13, 92805, 0, 5, 1, 1, 0.997447, 66, 1.94118, 0
33, 14, 92805, 0, 6, 1, 1, 0.997371, 66, 1.88571, 0
34, 15, 92805, 0, 0, 1, 1, 0.997294, 66, 1.83333, 0
35, 16, 92805, 0, 2, 1, 1, 0.997218, 66, 1.78378, 0
36, 17, 92821, 5, 6, 1, 1, 0.997141, 71, 1.86842, 1
37, 1, 0, 3, 0, 1, 1, 0.997065, 74, 1.89744, 0
38, 2, 131073, 3, 8, 1, 1, 0.996988, 77, 1.925, 0
39, 3, 131073, 0, 7, 1, 1, 0.996911, 77, 1.87805, 0
