global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward, end of game
0, 1, 0, 3, 7, 1, 1, 0.9999, 3, 1.5, 0
1, 2, 24576, 3, 5, 1, 1, 0.999785, 6, 2, 0
2, 3, 25608, 3, 3, 1, 1, 0.99967, 9, 2.25, 0
3, 4, 25704, 3, 5, 1, 1, 0.999555, 12, 2.4, 0
4, 5, 25704, 0, 5, 1, 1, 0.99944, 12, 2, 0
5, 6, 25704, 0, 5, 1, 1, 0.999325, 12, 1.71429, 0
6, 7, 25704, 0, 6, 1, 1, 0.99921, 12, 1.5, 0
7, 8, 25704, 0, 7, 1, 1, 0.999095, 12, 1.33333, 0
8, 9, 25704, 0, 8, 1, 1, 0.99898, 12, 1.2, 0
9, 10, 91242, 1, 6, 1, 1, 0.998864, 13, 1.18182, 1
10, 1, 0, 3, 8, 1, 1, 0.99875, 16, 1.33333, 0
11, 2, 65544, 3, 1, 1, 1, 0.998635, 19, 1.46154, 0
12, 3, 65544, 0, 5, 1, 1, 0.99852, 19, 1.35714, 0
13, 4, 99336, 3, 3, 1, 1, 0.998405, 22, 1.46667, 0
14, 5, 99912, 1, 1, 1, 1, 0.99829, 23, 1.4375, 1
15, 1, 0, 3, 4, 1, 1, 0.998175, 26, 1.52941, 0
16, 2, 33024, 3, 0, 1, 1, 0.99806, 29, 1.61111, 0
17, 3, 33153, 3, 5, 1, 1, 0.997945, 32, 1.68421, 0
18, 4, 34209, 3, 2, 1, 1, 0.99783, 35, 1.75, 0
19, 5, 34209, 0, 3, 1, 1, 0.997715, 35, 1.66667, 0
20, 6, 34209, 0, 1, 1, 1, 0.9976, 35, 1.59091, 0
21, 7, 42405, 3, 8, 1, 1, 0.997486, 38, 1.65217, 0
22, 8, 107941, 5, 5, 1, 1, 0.997371, 43, 1.79167, 1
23, 1, 0, 3, 4, 1, 1, 0.997256, 46, 1.84, 0
24, 2, 258, 3, 0, 1, 1, 0.997141, 49, 1.88462, 0
25, 3, 258, 0, 6, 1, 1, 0.997026, 49, 1.81481, 0
26, 4, 4386, 3, 7, 1, 1, 0.996911, 52, 1.85714, 0
27, 5, 151842, 3, 2, 1, 1, 0.996797, 55, 1.89655, 0
28, 6, 151842, 0, 0, 1, 1, 0.996682, 55, 1.83333, 0
29, 7, 151842, 0, 0, 1, 1, 0.996567, 55, 1.77419, 0
30, 8, 151842, 0, 6, 1, 1, 0.996453, 55, 1.71875, 0
31, 9, 151842, 0, 5, 1, 1, 0.996338, 55, 1.66667, 0
32, 10, 152994, 3, 7, 1, 1, 0.996223, 58, 1.70588, 0
33, 11, 152994, 0, 6, 1, 1, 0.996108, 58, 1.65714, 0
34, 12, 152994, 0, 5, 1, 1, 0.995994, 58, 1.61111, 0
35, 13, 152994, 0, 6, 1, 1, 0.995879, 58, 1.56757, 0
36, 14, 152994, 0, 8, 1, 1, 0.995764, 58, 1.52632, 0
37, 15, 152994, 0, 6, 1, 1, 0.99565, 58, 1.48718, 0
38, 16, 152994, 0, 8, 1, 1, 0.995535, 58, 1.45, 0
39, 17, 152994, 0, 1, 1, 1, 0.995421, 58, 1.41463, 0
40, 18, 152998, 4, 7, 1, 1, 0.995306, 62, 1.47619, 1
41, 1, 0, 3, 3, 1, 1, 0.995191, 65, 1.51163, 0
42, 2, 131136, 3, 1, 1, 1, 0.995077, 68, 1.54545, 0
43, 3, 163908, 3, 8, 1, 1, 0.994962, 71, 1.57778, 0
44, 4, 163908, 0, 5, 1, 1, 0.994848, 71, 1.54348, 0
45, 5, 164964, 3, 0, 1, 1, 0.994733, 74, 1.57447, 0
46, 6, 173157, 3, 7, 1, 1, 0.994619, 77, 1.60417, 0
47, 7, 173157, 0, 8, 1, 1, 0.994504, 77, 1.57143, 0
48, 8, 173157, 0, 6, 1, 1, 0.99439, 77, 1.54, 0
49, 9, 173157, 0, 1, 1, 1, 0.994275, 77, 1.5098, 0
50, 10, 173157, 0, 4, 1, 1, 0.994161, 77, 1.48077, 0
51, 11, 173413, 4, 0, 1, 1, 0.994046, 81, 1.5283, 1
52, 1, 0, 3, 6, 1, 1, 0.993932, 84, 1.55556, 0
53, 2, 135168, 3, 2, 1, 1, 0.993817, 87, 1.58182, 0
54, 3, 137232, 3, 3, 1, 1, 0.993703, 90, 1.60714, 0
55, 4, 137298, 3, 3, 1, 1, 0.993589, 93, 1.63158, 0
56, 5, 137298, 0, 5, 1, 1, 0.993474, 93, 1.60345, 0
57, 6, 137298, 0, 2, 1, 1, 0.99336, 93, 1.57627, 0
58, 7, 137298, 0, 2, 1, 1, 0.993246, 93, 1.55, 0
59, 8, 137298, 0, 3, 1, 1, 0.993131, 93, 1.52459, 0
60, 9, 137298, 0, 8, 1, 1, 0.993017, 93, 1.5, 0
61, 10, 137298, 0, 2, 1, 1, 0.992903, 93, 1.47619, 0
62, 11, 137298, 0, 0, 1, 1, 0.992788, 93, 1.45312, 0
63, 12, 137298, 0, 2, 1, 1, 0.992674, 93, 1.43077, 0
64, 13, 137298, 0, 3, 1, 1, 0.99256, 93, 1.40909, 0
65, 14, 137298, 0, 2, 1, 1, 0.992445, 93, 1.38806, 0
66, 15, 137298, 0, 1, 1, 1, 0.992331, 93, 1.36765, 0
67, 16, 137814, 1, 4, 1, 1, 0.992217, 94, 1.36232, 1
68, 1, 0, 3, 2, 1, 1, 0.992103, 97, 1.38571, 0
69, 2, 32784, 3, 5, 1, 1, 0.991989, 100, 1.40845, 0
70, 3, 164880, 3, 1, 1, 1, 0.991874, 103, 1.43056, 0
71, 4, 164886, 3, 3, 1, 0, 0.99176, 106, 1.45205, 0
72, 5, 173142, 3, 5, 1, 1, 0.991646, 109, 1.47297, 0
73, 6, 173142, 0, 8, 1, 1, 0.991532, 109, 1.45333, 0
74, 7, 173142, 0, 3, 1, 1, 0.991418, 109, 1.43421, 0
75, 8, 173142, 0, 1, 1, 1, 0.991304, 109, 1.41558, 0
76, 9, 173142, 0, 3, 1, 1, 0.991189, 109, 1.39744, 0
77, 10, 173142, 0, 6, 1, 1, 0.991075, 109, 1.37975, 0
78, 11, 173142, 0, 8, 1, 1, 0.990961, 109, 1.3625, 0
79, 12, 173142, 0, 1, 1, 1, 0.990847, 109, 1.34568, 0
80, 13, 173142, 0, 3, 1, 1, 0.990733, 109, 1.32927, 0
81, 14, 173142, 0, 1, 1, 1, 0.990619, 109, 1.31325, 0
82, 15, 173142, 0, 3, 1, 1, 0.990505, 109, 1.29762, 0
83, 16, 173142, 0, 1, 1, 1, 0.990391, 109, 1.28235, 0
84, 17, 173142, 0, 2, 1, 1, 0.990277, 109, 1.26744, 0
85, 18, 173142, 0, 8, 1, 1, 0.990163, 109, 1.25287, 0
86, 19, 173142, 0, 2, 1, 1, 0.990049, 109, 1.23864, 0
87, 20, 173142, 0, 8, 1, 1, 0.989935, 109, 1.22472, 0
88, 21, 173142, 0, 6, 1, 1, 0.989821, 109, 1.21111, 0
89, 22, 173142, 0, 5, 1, 1, 0.989707, 109, 1.1978, 0
90, 23, 173142, 0, 4, 1, 1, 0.989593, 109, 1.18478, 0
91, 24, 173398, 4, 3, 1, 1, 0.989479, 113, 1.21505, 1
92, 1, 0, 3, 8, 1, 1, 0.989365, 116, 1.23404, 0
93, 2, 66048, 3, 7, 1, 1, 0.989251, 119, 1.25263, 0
94, 3, 82440, 3, 1, 1, 1, 0.989138, 122, 1.27083, 0
95, 4, 82440, 0, 5, 1, 1, 0.989024, 122, 1.25773, 0
96, 5, 83592, 3, 8, 1, 1, 0.98891, 125, 1.27551, 0
97, 6, 83592, 0, 4, 1, 1, 0.988796, 125, 1.26263, 0
98, 7, 83592, 0, 3, 1, 1, 0.988682, 125, 1.25, 0
99, 8, 83592, 0, 3, 1, 1, 0.988568, 125, 1.23762, 0
100, 9, 83592, 0, 7, 1, 1, 0.988454, 125, 1.22549, 0
101, 10, 83592, 0, 5, 1, 1, 0.988341, 125, 1.21359, 0
102, 11, 83592, 0, 8, 1, 1, 0.988227, 125, 1.20192, 0
103, 12, 83592, 0, 1, 1, 1, 0.988113, 125, 1.19048, 0
104, 13, 83592, 0, 5, 1, 1, 0.987999, 125, 1.17925, 0
105, 14, 83592, 0, 1, 1, 1, 0.987886, 125, 1.16822, 0
106, 15, 83592, 0, 2, 1, 1, 0.987772, 125, 1.15741, 0
107, 16, 83610, 3, 7, 1, 1, 0.987658, 128, 1.17431, 0
108, 17, 83610, 0, 3, 1, 1, 0.987545, 128, 1.16364, 0
109, 18, 83610, 0, 0, 1, 1, 0.987431, 128, 1.15315, 0
110, 19, 83610, 0, 1, 1, 1, 0.987317, 128, 1.14286, 0
111, 20, 83610, 0, 3, 1, 0, 0.987204, 128, 1.13274, 0
112, 21, 83610, 0, 1, 1, 1, 0.98709, 128, 1.12281, 0
113, 22, 83610, 0, 0, 1, 1, 0.986976, 128, 1.11304, 0
114, 23, 83610, 0, 8, 1, 1, 0.986863, 128, 1.10345, 0
115, 24, 83610, 0, 2, 1, 1, 0.986749, 128, 1.09402, 0
116, 25, 83610, 0, 5, 1, 1, 0.986635, 128, 1.08475, 0
117, 26, 83610, 0, 7, 1, 1, 0.986522, 128, 1.07563, 0
118, 27, 83610, 0, 0, 1, 1, 0.986408, 128, 1.06667, 0
