global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward
0, 1, 0, 3, 7, 1, 1, 0.999, 3, 1.5
1, 2, 24576, 3, 5, 1, 1, 0.999, 6, 2
2, 3, 25608, 3, 3, 1, 1, 0.999, 9, 2.25
3, 4, 25704, 3, 5, 1, 1, 0.999, 12, 2.4
4, 5, 25704, 0, 5, 1, 1, 0.999, 12, 2
5, 6, 25704, 0, 5, 1, 1, 0.999, 12, 1.71429
6, 7, 25704, 0, 6, 1, 1, 0.999, 12, 1.5
7, 8, 25704, 0, 7, 1, 1, 0.999, 12, 1.33333
8, 9, 25704, 0, 8, 1, 1, 0.999, 12, 1.2
9, 10, 91242, 1, 1, -1, -1, -1, 13, 1.3
10, 1, 0, 3, 6, 1, 1, 0.999, 3, 1.5
11, 2, 4104, 3, 8, 1, 1, 0.999, 6, 2
12, 3, 69642, 3, 1, 1, 1, 0.999, 9, 2.25
13, 4, 69642, 0, 0, 1, 1, 0.999, 9, 1.8
14, 5, 69642, 0, 3, 1, 1, 0.999, 9, 1.5
15, 6, 71754, 3, 1, 1, 1, 0.999, 12, 1.71429
16, 7, 71754, 0, 4, 1, 1, 0.999, 12, 1.5
17, 8, 104778, 3, 0, 1, 1, 0.999, 15, 1.66667
18, 9, 104778, 0, 2, 1, 1, 0.999, 15, 1.5
19, 10, 104794, 4, 1, -1, -1, -1, 19, 1.9
20, 1, 0, 3, 4, 1, 1, 0.999, 3, 1.5
21, 2, 33024, 3, 2, 1, 1, 0.999, 6, 2
22, 3, 164112, 3, 1, 1, 1, 0.999, 9, 2.25
23, 4, 164118, 3, 8, 1, 1, 0.999, 12, 2.4
24, 5, 164118, 0, 5, 1, 1, 0.999, 12, 2
25, 6, 165270, 3, 4, 1, 1, 0.999, 15, 2.14286
26, 7, 165270, 0, 0, 1, 1, 0.999, 15, 1.875
27, 8, 165270, 0, 6, 1, 1, 0.999, 15, 1.66667
28, 9, 169366, 4, 1, -1, -1, -1, 19, 2.11111
29, 1, 0, 3, 8, 1, 1, 0.999, 3, 1.5
30, 2, 65664, 3, 4, 1, 1, 0.999, 6, 2
31, 3, 74112, 3, 0, 1, 1, 0.999, 9, 2.25
32, 4, 74113, 5, 1, -1, -1, -1, 14, 3.5
33, 1, 0, 3, 0, 1, 1, 0.999, 3, 1.5
34, 2, 131073, 3, 2, 1, 1, 0.999, 6, 2
35, 3, 139281, 3, 5, 1, 1, 0.999, 9, 2.25
36, 4, 140817, 3, 6, 1, 1, 0.999, 12, 2.4
37, 5, 140817, 0, 5, 1, 1, 0.999, 12, 2
38, 6, 140817, 0, 6, 1, 1, 0.999, 12, 1.71429
39, 7, 140817, 0, 8, 1, 1, 0.999, 12, 1.5
40, 8, 140817, 0, 6, 1, 1, 0.999, 12, 1.33333
41, 9, 140817, 0, 8, 1, 1, 0.999, 12, 1.2
42, 10, 140817, 0, 1, 1, 1, 0.999, 12, 1.09091
43, 11, 140821, 5, 1, -1, -1, -1, 17, 1.54545
44, 1, 0, 3, 7, 1, 1, 0.999, 3, 1.5
45, 2, 24576, 3, 2, 1, 1, 0.999, 6, 2
46, 3, 24720, 3, 2, 1, 1, 0.999, 9, 2.25
47, 4, 24720, 0, 8, 1, 1, 0.999, 9, 1.8
48, 5, 92304, 3, 2, 1, 1, 0.999, 12, 2
49, 6, 92304, 0, 0, 1, 1, 0.999, 12, 1.71429
50, 7, 92817, 3, 7, 1, 1, 0.999, 15, 1.875
51, 8, 92817, 0, 8, 1, 1, 0.999, 15, 1.66667
52, 9, 92817, 0, 6, 1, 1, 0.999, 15, 1.5
53, 10, 92817, 0, 1, 1, 1, 0.999, 15, 1.36364
54, 11, 92821, 5, 1, -1, -1, -1, 20, 1.81818
55, 1, 0, 3, 4, 1, 1, 0.999, 3, 1.5
56, 2, 264, 3, 4, 1, 1, 0.999, 6, 2
57, 3, 264, 0, 2, 1, 1, 0.999, 6, 1.5
58, 4, 33048, 3, 0, 1, 1, 0.999, 9, 1.8
59, 5, 35097, 3, 7, 1, 1, 0.999, 12, 2
60, 6, 35097, 0, 3, 1, 1, 0.999, 12, 1.71429
61, 7, 43353, 3, 4, 1, 1, 0.999, 15, 1.875
