global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward, end of game
0, 1, 0, 3, 7, 1, 1, 0.999, 3, 1.5, 0
1, 2, 24576, 3, 5, 1, 1, 0.998489, 6, 2, 0
2, 3, 25608, 3, 3, 1, 1, 0.997977, 9, 2.25, 0
3, 4, 25704, 3, 5, 1, 1, 0.997466, 12, 2.4, 0
4, 5, 25704, 0, 5, 1, 1, 0.996956, 12, 2, 0
5, 6, 25704, 0, 5, 1, 1, 0.996445, 12, 1.71429, 0
6, 7, 25704, 0, 6, 1, 1, 0.995935, 12, 1.5, 0
7, 8, 25704, 0, 7, 1, 1, 0.995425, 12, 1.33333, 0
8, 9, 25704, 0, 8, 1, 1, 0.994915, 12, 1.2, 1
9, 1, 0, 3, 8, 1, 1, 0.994406, 16, 1.33333, 0
10, 2, 65544, 3, 1, 1, 1, 0.993897, 19, 1.46154, 0
11, 3, 65544, 0, 5, 1, 1, 0.993388, 19, 1.35714, 0
12, 4, 99336, 3, 3, 1, 1, 0.992879, 22, 1.46667, 1
13, 1, 0, 3, 4, 1, 1, 0.992371, 26, 1.52941, 0
14, 2, 33024, 3, 0, 1, 1, 0.991863, 29, 1.61111, 0
15, 3, 33153, 3, 5, 1, 1, 0.991355, 32, 1.68421, 0
16, 4, 34209, 3, 2, 1, 1, 0.990848, 35, 1.75, 0
17, 5, 34209, 0, 3, 1, 1, 0.99034, 35, 1.66667, 0
18, 6, 34209, 0, 1, 1, 1, 0.989833, 35, 1.59091, 0
19, 7, 42405, 3, 8, 1, 1, 0.989326, 38, 1.65217, 1
20, 1, 0, 3, 4, 1, 1, 0.98882, 46, 1.84, 0
21, 2, 258, 3, 0, 1, 1, 0.988314, 49, 1.88462, 0
22, 3, 258, 0, 6, 1, 1, 0.987808, 49, 1.81481, 0
23, 4, 4386, 3, 7, 1, 1, 0.987302, 52, 1.85714, 0
24, 5, 151842, 3, 2, 1, 1, 0.986796, 55, 1.89655, 0
25, 6, 151842, 0, 0, 1, 1, 0.986291, 55, 1.83333, 0
26, 7, 151842, 0, 0, 1, 1, 0.985786, 55, 1.77419, 0
27, 8, 151842, 0, 6, 1, 1, 0.985281, 55, 1.71875, 0
28, 9, 151842, 0, 5, 1, 1, 0.984777, 55, 1.66667, 0
29, 10, 152994, 3, 7, 1, 1, 0.984273, 58, 1.70588, 0
30, 11, 152994, 0, 6, 1, 1, 0.983769, 58, 1.65714, 0
31, 12, 152994, 0, 5, 1, 1, 0.983265, 58, 1.61111, 0
32, 13, 152994, 0, 6, 1, 1, 0.982762, 58, 1.56757, 0
33, 14, 152994, 0, 8, 1, 1, 0.982258, 58, 1.52632, 0
