global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward, end of game
0, 1, 0, 3, 7, 1, 1, 0.999, 3, 1.5, 0
1, 2, 24576, 3, 4, 1, 1, 0.998489, 6, 2, 0
2, 3, 24840, 3, 8, 1, 1, 0.997977, 9, 2.25, 0
3, 4, 90504, 3, 0, 1, 1, 0.997466, 12, 2.4, 1
4, 5, 90505, 5, 0, 1, 1, 0.996956, 17, 3.4, 1
5, 1, 0, 3, 0, 1, 1, 0.996956, 20, 2.85714, 0
6, 2, 2049, 3, 7, 1, 1, 0.996445, 23, 2.875, 0
7, 3, 18561, 3, 6, 1, 1, 0.995935, 26, 2.88889, 0
8, 4, 23169, 3, 2, 1, 1, 0.995425, 29, 2.9, 0
9, 5, 154257, 3, 6, 1, 1, 0.994915, 32, 2.90909, 0
10, 6, 154257, 0, 8, 1, 1, 0.994406, 32, 2.66667, 0
11, 7, 154257, 0, 7, 1, 1, 0.993897, 32, 2.46154, 0
12, 8, 154257, 0, 5, 1, 1, 0.993388, 32, 2.28571, 0
13, 9, 154257, 0, 8, 1, 1, 0.992879, 32, 2.13333, 0
14, 10, 154257, 0, 1, 1, 1, 0.992371, 32, 2, 1
15, 11, 154261, 5, 1, 1, 1, 0.991863, 37, 2.3125, 1
16, 1, 0, 3, 1, 1, 1, 0.991863, 40, 2.22222, 0
17, 2, 131076, 3, 0, 1, 1, 0.991355, 43, 2.26316, 0
18, 3, 133125, 3, 2, 1, 1, 0.990848, 46, 2.3, 1
19, 4, 133141, 5, 2, 1, 1, 0.99034, 51, 2.55, 1
20, 1, 0, 3, 8, 1, 1, 0.99034, 54, 2.45455, 0
21, 2, 65664, 3, 1, 1, 1, 0.989833, 57, 2.47826, 0
22, 3, 66180, 3, 3, 1, 1, 0.989326, 60, 2.5, 0
23, 4, 66180, 0, 3, 1, 1, 0.98882, 60, 2.4, 0
24, 5, 66180, 0, 7, 1, 1, 0.988314, 60, 2.30769, 0
25, 6, 84612, 3, 8, 1, 1, 0.987808, 63, 2.33333, 0
26, 7, 84612, 0, 1, 1, 1, 0.987302, 63, 2.25, 0
27, 8, 84612, 0, 0, 1, 1, 0.986796, 63, 2.17241, 0
28, 9, 92805, 3, 4, 1, 1, 0.986291, 66, 2.2, 0
29, 10, 92805, 0, 7, 1, 1, 0.985786, 66, 2.12903, 0
30, 11, 92805, 0, 6, 1, 1, 0.985281, 66, 2.0625, 0
31, 12, 92805, 0, 5, 1, 1, 0.984777, 66, 2, 0
32, 13, 92805, 0, 5, 1, 1, 0.984273, 66, 1.94118, 0
33, 14, 92805, 0, 6, 1, 1, 0.983769, 66, 1.88571, 0
34, 15, 92805, 0, 0, 1, 1, 0.983265, 66, 1.83333, 0
35, 16, 92805, 0, 2, 1, 1, 0.982762, 66, 1.78378, 1
36, 17, 92821, 5, 2, 1, 1, 0.982258, 71, 1.91892, 1
37, 1, 0, 3, 0, 1, 1, 0.982258, 74, 1.89744, 0
38, 2, 131073, 3, 8, 1, 1, 0.981756, 77, 1.925, 0
39, 3, 131073, 0, 7, 1, 1, 0.981253, 77, 1.87805, 0
40, 4, 147969, 3, 7, 1, 1, 0.98075, 80, 1.90476, 0
41, 5, 147969, 0, 2, 1, 1, 0.980248, 80, 1.86047, 0
42, 6, 148113, 3, 0, 1, 1, 0.979746, 83, 1.88636, 0
43, 7, 148113, 0, 5, 1, 1, 0.979245, 83, 1.84444, 0
44, 8, 149145, 3, 1, 1, 1, 0.978743, 86, 1.86957, 0
45, 9, 149145, 0, 3, 1, 1, 0.978242, 86, 1.82979, 0
46, 10, 149145, 0, 5, 1, 1, 0.977741, 86, 1.79167, 0
47, 11, 149145, 0, 5, 1, 1, 0.977241, 86, 1.7551, 0
48, 12, 149145, 0, 3, 1, 1, 0.976741, 86, 1.72, 0
49, 13, 149145, 0, 7, 1, 1, 0.97624, 86, 1.68627, 0
50, 14, 149145, 0, 8, 1, 1, 0.975741, 86, 1.65385, 0
51, 15, 149145, 0, 0, 1, 1, 0.975241, 86, 1.62264, 0
52, 16, 149145, 0, 6, 1, 1, 0.974742, 86, 1.59259, 1
53, 17, 153241, 4, 6, 1, 1, 0.974243, 90, 1.66667, 1
54, 1, 0, 3, 5, 1, 1, 0.974243, 93, 1.66071, 0
55, 2, 1032, 3, 6, 1, 1, 0.973744, 96, 1.68421, 0
56, 3, 136200, 3, 4, 1, 1, 0.973245, 99, 1.7069, 0
57, 4, 136584, 3, 0, 1, 1, 0.972747, 102, 1.72881, 0
58, 5, 136617, 3, 6, 1, 1, 0.972249, 105, 1.75, 0
59, 6, 136617, 0, 8, 1, 1, 0.971751, 105, 1.72131, 0
60, 7, 136617, 0, 5, 1, 1, 0.971254, 105, 1.69355, 0
61, 8, 136617, 0, 1, 1, 1, 0.970756, 105, 1.66667, 0
62, 9, 136617, 0, 5, 1, 1, 0.970259, 105, 1.64062, 0
