global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward
0, 1, 0, 100, 1, 1, 1, 0.99, 100, 50
1, 2, 2, 99, 0, 1, 1, 0.99, 199, 66.3333
2, 3, 2, 99, 2, 1, 1, 0.99, 298, 74.5
3, 4, 2, 130, 1, -1, -1, -1, 428, 107
4, 1, 0, 100, 0, 1, 1, 0.99, 100, 50
5, 2, 0, 99, 0, 1, 1, 0.99, 199, 66.3333
6, 3, 0, 90, 3, 1, 1, 0.99, 289, 72.25
7, 4, 0, 130, 1, -1, -1, -1, 419, 104.75
8, 1, 0, 100, 1, 1, 1, 0.99, 100, 50
9, 2, 1, 99, 3, 1, 1, 0.99, 199, 66.3333
10, 3, 1, 90, 1, 1, 1, 0.99, 289, 72.25
11, 4, 2, 99, 1, 1, 1, 0.99, 388, 77.6
12, 5, 1, 99, 0, 1, 1, 0.99, 487, 81.1667
13, 6, 1, 99, 1, 1, 1, 0.99, 586, 83.7143
14, 7, 1, 90, 0, 1, 1, 0.99, 676, 84.5
15, 8, 1, 90, 2, 1, 1, 0.99, 766, 85.1111
16, 9, 1, 0, 1, -1, -1, -1, 766, 85.1111
17, 1, 0, 100, 1, 1, 1, 0.99, 100, 50
18, 2, 1, 99, 3, 1, 1, 0.99, 199, 66.3333
19, 3, 1, 90, 1, 1, 1, 0.99, 289, 72.25
20, 4, 1, 99, 1, 1, 1, 0.99, 388, 77.6
21, 5, 2, 99, 2, 1, 1, 0.99, 487, 81.1667
22, 6, 2, 90, 1, 1, 1, 0.99, 577, 82.4286
23, 7, 2, 99, 0, 1, 1, 0.99, 676, 84.5
24, 8, 2, 99, 2, 1, 1, 0.99, 775, 86.1111
25, 9, 2, 130, 1, -1, -1, -1, 905, 100.556
26, 1, 0, 100, 2, 1, 1, 0.99, 100, 50
27, 2, 0, 90, 2, 1, 1, 0.99, 190, 63.3333
28, 3, 0, 90, 1, 1, 1, 0.99, 280, 70
29, 4, 2, 99, 1, 1, 1, 0.99, 379, 75.8
30, 5, 2, 99, 0, 1, 1, 0.99, 478, 79.6667
31, 6, 2, 99, 2, 1, 1, 0.99, 577, 82.4286
32, 7, 2, 130, 1, -1, -1, -1, 707, 101
33, 1, 0, 100, 1, 1, 1, 0.99, 100, 50
34, 2, 2, 99, 3, 1, 1, 0.99, 199, 66.3333
35, 3, 2, 90, 1, 1, 1, 0.99, 289, 72.25
36, 4, 1, 99, 2, 1, 1, 0.99, 388, 77.6
37, 5, 1, 90, 1, 1, 1, 0.99, 478, 79.6667
38, 6, 1, 99, 1, 1, 1, 0.99, 577, 82.4286
39, 7, 1, 99, 1, 1, 0, 0.99, 676, 84.5
40, 8, 2, 99, 0, 1, 1, 0.99, 775, 86.1111
41, 9, 2, 99, 0, 1, 1, 0.99, 874, 87.4
42, 10, 2, 90, 2, 1, 1, 0.99, 964, 87.6364
43, 11, 2, 130, 1, -1, -1, -1, 1094, 99.4545
44, 1, 0, 100, 3, 1, 1, 0.99, 100, 50
45, 2, 0, 90, 1, 1, 1, 0.99, 190, 63.3333
46, 3, 1, 99, 2, 1, 1, 0.99, 289, 72.25
47, 4, 1, 90, 0, 1, 1, 0.99, 379, 75.8
48, 5, 1, 99, 3, 1, 1, 0.99, 478, 79.6667
49, 6, 1, 0, 1, -1, -1, -1, 478, 79.6667
50, 1, 0, 100, 3, 1, 1, 0.99, 100, 50
51, 2, 0, 90, 3, 1, 1, 0.99, 190, 63.3333
52, 3, 0, 90, 3, 1, 1, 0.99, 280, 70
