global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward, end of game
0, 1, 0, 100, 1, 1, 1, 0.99, 100, 50, 0
1, 2, 2, 99, 0, 1, 1, 0.989505, 199, 66.3333, 0
2, 3, 2, 99, 2, 1, 1, 0.98901, 298, 74.5, 1
3, 1, 0, 100, 0, 1, 1, 0.988516, 528, 88, 0
4, 2, 0, 99, 3, 1, 1, 0.988021, 627, 89.5714, 1
5, 1, 0, 100, 0, 1, 1, 0.987527, 727, 80.7778, 0
6, 2, 0, 99, 1, 1, 1, 0.987034, 826, 82.6, 0
7, 3, 0, 90, 1, 1, 1, 0.98654, 916, 83.2727, 0
8, 4, 0, 90, 1, 1, 1, 0.986047, 1006, 83.8333, 0
9, 5, 0, 90, 2, 1, 1, 0.985554, 1096, 84.3077, 1
10, 1, 0, 100, 0, 1, 1, 0.985061, 1326, 88.4, 0
11, 2, 0, 99, 2, 1, 1, 0.984569, 1425, 89.0625, 1
12, 1, 0, 100, 0, 1, 0, 0.984076, 1525, 84.7222, 0
13, 2, 0, 99, 1, 1, 1, 0.983584, 1624, 85.4737, 0
14, 3, 0, 90, 3, 1, 1, 0.983092, 1714, 85.7, 1
15, 1, 0, 100, 0, 1, 1, 0.982601, 1944, 88.3636, 0
16, 2, 0, 99, 3, 1, 1, 0.98211, 2043, 88.8261, 1
17, 1, 0, 100, 3, 1, 1, 0.981619, 2143, 85.72, 0
18, 2, 0, 90, 1, 1, 1, 0.981128, 2233, 85.8846, 0
19, 3, 2, 99, 2, 1, 1, 0.980637, 2332, 86.3704, 0
20, 4, 2, 90, 0, 1, 1, 0.980147, 2422, 86.5, 0
21, 5, 2, 99, 3, 1, 1, 0.979657, 2521, 86.931, 1
22, 1, 0, 100, 2, 1, 1, 0.979167, 2621, 84.5484, 0
23, 2, 0, 90, 1, 1, 1, 0.978677, 2711, 84.7188, 0
24, 3, 1, 99, 2, 1, 1, 0.978188, 2810, 85.1515, 0
25, 4, 1, 90, 1, 1, 1, 0.977699, 2900, 85.2941, 0
26, 5, 2, 99, 0, 1, 1, 0.97721, 2999, 85.6857, 0
27, 6, 2, 99, 0, 1, 1, 0.976722, 3098, 86.0556, 0
28, 7, 2, 90, 0, 1, 1, 0.976233, 3188, 86.1622, 0
29, 8, 2, 90, 1, 1, 1, 0.975745, 3278, 86.2632, 0
30, 9, 2, 90, 3, 1, 1, 0.975257, 3368, 86.359, 1
31, 1, 0, 100, 1, 1, 1, 0.97477, 3468, 84.5854, 0
32, 2, 2, 99, 0, 1, 1, 0.974282, 3567, 84.9286, 0
33, 3, 2, 99, 3, 1, 1, 0.973795, 3666, 85.2558, 1
34, 1, 0, 100, 0, 1, 1, 0.973308, 3766, 83.6889, 0
35, 2, 0, 99, 1, 1, 1, 0.972821, 3865, 84.0217, 0
36, 3, 0, 90, 2, 1, 1, 0.972335, 3955, 84.1489, 1
37, 1, 0, 100, 1, 1, 1, 0.971849, 4055, 82.7551, 0
38, 2, 2, 99, 1, 1, 1, 0.971363, 4154, 83.08, 0
39, 3, 1, 99, 1, 1, 1, 0.970877, 4253, 83.3922, 0
40, 4, 2, 99, 2, 1, 1, 0.970392, 4352, 83.6923, 0
41, 5, 2, 90, 3, 1, 1, 0.969907, 4442, 83.8113, 0
42, 6, 2, 90, 2, 1, 1, 0.969422, 4532, 83.9259, 0
43, 7, 2, 90, 0, 1, 1, 0.968937, 4622, 84.0364, 0
44, 8, 2, 99, 0, 1, 1, 0.968453, 4721, 84.3036, 0
45, 9, 2, 90, 1, 1, 1, 0.967968, 4811, 84.4035, 0
46, 10, 2, 90, 0, 1, 1, 0.967484, 4901, 84.5, 0
47, 11, 2, 90, 3, 1, 1, 0.967001, 4991, 84.5932, 1
48, 1, 0, 100, 1, 1, 1, 0.966517, 5091, 83.459, 0
49, 2, 2, 99, 1, 1, 1, 0.966034, 5190, 83.7097, 0
50, 3, 1, 99, 0, 1, 1, 0.965551, 5289, 83.9524, 0
51, 4, 1, 99, 0, 1, 1, 0.965068, 5388, 84.1875, 0
52, 5, 1, 90, 2, 1, 1, 0.964585, 5478, 84.2769, 1
53, 1, 0, 100, 3, 1, 1, 0.964103, 5578, 83.2537, 0
54, 2, 0, 90, 3, 1, 1, 0.963621, 5668, 83.3529, 0
55, 3, 0, 90, 2, 1, 1, 0.963139, 5758, 83.4493, 0
56, 4, 0, 90, 3, 1, 1, 0.962658, 5848, 83.5429, 0
57, 5, 0, 90, 1, 1, 1, 0.962176, 5938, 83.6338, 0
58, 6, 2, 99, 2, 1, 1, 0.961695, 6037, 83.8472, 0
59, 7, 2, 90, 0, 1, 1, 0.961214, 6127, 83.9315, 0
60, 8, 2, 99, 1, 1, 1, 0.960734, 6226, 84.1351, 0
61, 9, 2, 90, 3, 1, 1, 0.960254, 6316, 84.2133, 1
62, 1, 0, 100, 2, 1, 1, 0.959773, 6416, 83.3247, 0
63, 2, 0, 90, 2, 1, 1, 0.959293, 6506, 83.4103, 0
64, 3, 0, 90, 1, 1, 0, 0.958814, 6596, 83.4937, 0
65, 4, 1, 99, 2, 1, 1, 0.958334, 6695, 83.6875, 0
66, 5, 1, 90, 3, 1, 1, 0.957855, 6785, 83.7654, 0
67, 6, 1, 90, 2, 1, 1, 0.957376, 6875, 83.8415, 0
68, 7, 1, 90, 3, 1, 0, 0.956898, 6965, 83.9157, 0
69, 8, 1, 90, 2, 1, 1, 0.956419, 7055, 83.9881, 0
70, 9, 1, 90, 2, 1, 1, 0.955941, 7145, 84.0588, 0
71, 10, 1, 90, 1, 1, 1, 0.955463, 7235, 84.1279, 0
72, 11, 2, 99, 2, 1, 1, 0.954985, 7334, 84.2989, 0
73, 12, 2, 90, 0, 1, 1, 0.954508, 7424, 84.3636, 0
74, 13, 2, 99, 3, 1, 1, 0.954031, 7523, 84.5281, 1
75, 1, 0, 100, 3, 1, 1, 0.953554, 7753, 85.1978, 0
76, 2, 0, 90, 1, 1, 1, 0.953077, 7843, 85.25, 0
77, 3, 2, 99, 2, 1, 1, 0.9526, 7942, 85.3978, 0
78, 4, 2, 90, 1, 1, 1, 0.952124, 8032, 85.4468, 0
79, 5, 2, 99, 3, 1, 1, 0.951648, 8131, 85.5895, 0
80, 6, 2, 90, 0, 1, 1, 0.951172, 8221, 85.6354, 0
81, 7, 2, 99, 0, 1, 1, 0.950696, 8320, 85.7732, 0
82, 8, 2, 90, 2, 1, 1, 0.950221, 8410, 85.8163, 1
83, 1, 0, 100, 2, 1, 1, 0.949746, 8640, 86.4, 0
84, 2, 0, 90, 1, 1, 1, 0.949271, 8730, 86.4356, 0
85, 3, 2, 99, 0, 1, 1, 0.948796, 8829, 86.5588, 0
86, 4, 2, 99, 2, 1, 1, 0.948322, 8928, 86.6796, 1
87, 1, 0, 100, 3, 1, 1, 0.947848, 9028, 85.981, 0
88, 2, 0, 90, 2, 1, 1, 0.947374, 9118, 86.0189, 0
89, 3, 0, 90, 0, 1, 1, 0.9469, 9208, 86.0561, 0
90, 4, 0, 99, 2, 1, 1, 0.946427, 9307, 86.1759, 1
91, 1, 0, 100, 3, 1, 1, 0.945954, 9537, 86.7, 0
92, 2, 0, 90, 1, 1, 1, 0.945481, 9627, 86.7297, 0
93, 3, 1, 99, 1, 1, 1, 0.945008, 9726, 86.8393, 0
94, 4, 2, 99, 1, 1, 1, 0.944535, 9825, 86.9469, 0
95, 5, 1, 99, 1, 1, 1, 0.944063, 9924, 87.0526, 0
96, 6, 2, 99, 0, 1, 1, 0.943591, 10023, 87.1565, 0
97, 7, 2, 99, 1, 1, 1, 0.943119, 10122, 87.2586, 0
98, 8, 2, 90, 0, 1, 1, 0.942648, 10212, 87.2821, 0
99, 9, 2, 90, 3, 1, 1, 0.942176, 10302, 87.3051, 1
100, 1, 0, 100, 0, 1, 1, 0.941705, 10402, 86.6833, 0
101, 2, 0, 99, 2, 1, 1, 0.941235, 10501, 86.7851, 1
102, 1, 0, 100, 0, 1, 1, 0.940764, 10601, 86.187, 0
103, 2, 0, 99, 3, 1, 1, 0.940294, 10700, 86.2903, 1
104, 1, 0, 100, 2, 1, 1, 0.939823, 10800, 85.7143, 0
105, 2, 0, 90, 2, 1, 1, 0.939353, 10890, 85.748, 0
106, 3, 0, 90, 3, 1, 1, 0.938884, 10980, 85.7812, 0
107, 4, 0, 90, 3, 1, 1, 0.938414, 11070, 85.814, 0
108, 5, 0, 90, 3, 1, 1, 0.937945, 11160, 85.8462, 0
109, 6, 0, 90, 2, 1, 1, 0.937476, 11250, 85.8779, 0
110, 7, 0, 90, 1, 1, 1, 0.937007, 11340, 85.9091, 0
111, 8, 2, 99, 3, 1, 1, 0.936539, 11439, 86.0075, 0
112, 9, 2, 90, 0, 1, 1, 0.936071, 11529, 86.0373, 0
113, 10, 2, 99, 2, 1, 1, 0.935603, 11628, 86.1333, 1
114, 1, 0, 100, 0, 1, 1, 0.935135, 11858, 86.5547, 0
115, 2, 0, 99, 1, 1, 0, 0.934667, 11957, 86.6449, 0
116, 3, 0, 90, 2, 1, 1, 0.9342, 12047, 86.6691, 1
117, 1, 0, 100, 3, 1, 0, 0.933733, 12277, 87.0709, 0
118, 2, 0, 90, 0, 1, 1, 0.933266, 12367, 87.0915, 0
119, 3, 0, 99, 0, 1, 1, 0.932799, 12466, 87.1748, 0
120, 4, 0, 90, 3, 1, 1, 0.932333, 12556, 87.1944, 1
121, 1, 0, 100, 0, 1, 1, 0.931867, 12656, 86.6849, 0
122, 2, 0, 99, 1, 1, 1, 0.931401, 12755, 86.7687, 0
123, 3, 0, 90, 1, 1, 1, 0.930935, 12845, 86.7905, 0
124, 4, 0, 90, 0, 1, 1, 0.93047, 12935, 86.8121, 0
125, 5, 0, 90, 1, 1, 1, 0.930004, 13025, 86.8333, 0
126, 6, 0, 90, 3, 1, 1, 0.929539, 13115, 86.8543, 1
127, 1, 0, 100, 1, 1, 1, 0.929075, 13215, 86.3725, 0
128, 2, 2, 99, 2, 1, 1, 0.92861, 13314, 86.4545, 0
129, 3, 2, 90, 3, 1, 1, 0.928146, 13404, 86.4774, 0
130, 4, 2, 90, 3, 1, 1, 0.927682, 13494, 86.5, 0
131, 5, 2, 90, 2, 1, 1, 0.927218, 13584, 86.5223, 0
132, 6, 2, 90, 3, 1, 1, 0.926754, 13674, 86.5443, 0
133, 7, 2, 90, 2, 1, 1, 0.926291, 13764, 86.566, 0
134, 8, 2, 90, 0, 1, 1, 0.925828, 13854, 86.5875, 0
135, 9, 2, 99, 3, 1, 1, 0.925365, 13953, 86.6646, 1
136, 1, 0, 100, 3, 1, 1, 0.924902, 14053, 86.2147, 0
137, 2, 0, 90, 0, 1, 1, 0.92444, 14143, 86.2378, 0
138, 3, 0, 99, 2, 1, 1, 0.923977, 14242, 86.3152, 1
139, 1, 0, 100, 0, 1, 1, 0.923515, 14472, 86.6587, 0
140, 2, 0, 99, 1, 1, 1, 0.923054, 14571, 86.7321, 0
141, 3, 0, 90, 0, 1, 1, 0.922592, 14661, 86.7515, 0
142, 4, 0, 90, 3, 1, 1, 0.922131, 14751, 86.7706, 1
143, 1, 0, 100, 1, 1, 1, 0.92167, 14851, 86.343, 0
144, 2, 1, 99, 2, 1, 1, 0.921209, 14950, 86.4162, 0
145, 3, 1, 90, 3, 1, 1, 0.920748, 15040, 86.4368, 0
146, 4, 1, 90, 2, 1, 1, 0.920288, 15130, 86.4571, 0
147, 5, 1, 90, 0, 1, 1, 0.919828, 15220, 86.4773, 0
148, 6, 1, 99, 2, 1, 1, 0.919368, 15319, 86.548, 1
149, 1, 0, 100, 2, 1, 1, 0.918908, 15419, 86.1397, 0
150, 2, 0, 90, 0, 1, 1, 0.918449, 15509, 86.1611, 0
151, 3, 0, 99, 2, 1, 1, 0.91799, 15608, 86.232, 1
152, 1, 0, 100, 0, 1, 1, 0.917531, 15838, 86.5464, 0
153, 2, 0, 99, 0, 1, 1, 0.917072, 15937, 86.6141, 0
154, 3, 0, 90, 1, 1, 1, 0.916613, 16027, 86.6324, 0
155, 4, 0, 90, 2, 1, 1, 0.916155, 16117, 86.6505, 1
156, 1, 0, 100, 0, 1, 0, 0.915697, 16217, 86.2606, 0
157, 2, 0, 99, 2, 1, 1, 0.915239, 16316, 86.328, 1
158, 1, 0, 100, 2, 1, 0, 0.914781, 16416, 85.9476, 0
159, 2, 0, 90, 3, 1, 1, 0.914324, 16506, 85.9688, 0
160, 3, 0, 90, 0, 1, 1, 0.913867, 16596, 85.9896, 0
161, 4, 0, 99, 1, 1, 1, 0.91341, 16695, 86.0567, 0
162, 5, 0, 90, 2, 1, 1, 0.912953, 16785, 86.0769, 1
163, 1, 0, 100, 1, 1, 1, 0.912497, 17015, 86.3706, 0
164, 2, 1, 99, 3, 1, 1, 0.912041, 17114, 86.4343, 0
165, 3, 1, 90, 1, 1, 0, 0.911585, 17204, 86.4523, 0
166, 4, 2, 99, 0, 1, 1, 0.911129, 17303, 86.515, 0
167, 5, 2, 99, 0, 1, 1, 0.910673, 17402, 86.5771, 0
168, 6, 2, 90, 0, 1, 1, 0.910218, 17492, 86.5941, 0
169, 7, 2, 90, 3, 1, 0, 0.909763, 17582, 86.6108, 1
170, 1, 0, 100, 2, 1, 1, 0.909308, 17682, 86.2537, 0
171, 2, 0, 90, 0, 1, 1, 0.908853, 17772, 86.2718, 0
172, 3, 0, 99, 1, 1, 1, 0.908399, 17871, 86.3333, 0
173, 4, 0, 90, 1, 1, 1, 0.907945, 17961, 86.351, 0
174, 5, 0, 90, 2, 1, 1, 0.907491, 18051, 86.3684, 1
175, 1, 0, 100, 2, 1, 1, 0.907037, 18281, 86.6398, 0
176, 2, 0, 90, 0, 1, 1, 0.906583, 18371, 86.6557, 0
177, 3, 0, 99, 0, 1, 1, 0.90613, 18470, 86.7136, 0
178, 4, 0, 90, 3, 1, 1, 0.905677, 18560, 86.729, 1
179, 1, 0, 100, 0, 1, 1, 0.905224, 18660, 86.3889, 0
180, 2, 0, 99, 2, 1, 1, 0.904772, 18759, 86.447, 1
181, 1, 0, 100, 2, 1, 1, 0.904319, 18859, 86.1142, 0
182, 2, 0, 90, 1, 1, 1, 0.903867, 18949, 86.1318, 0
183, 3, 2, 99, 0, 1, 0, 0.903415, 19048, 86.19, 0
184, 4, 2, 99, 2, 1, 1, 0.902963, 19147, 86.2477, 1
185, 1, 0, 100, 0, 1, 1, 0.902512, 19247, 85.9241, 0
186, 2, 0, 99, 1, 1, 1, 0.902061, 19346, 85.9822, 0
187, 3, 0, 90, 0, 1, 1, 0.90161, 19436, 86, 0
188, 4, 0, 90, 1, 1, 1, 0.901159, 19526, 86.0176, 0
189, 5, 0, 90, 1, 1, 1, 0.900708, 19616, 86.0351, 0
190, 6, 0, 90, 1, 1, 1, 0.900258, 19706, 86.0524, 0
191, 7, 0, 90, 3, 1, 1, 0.899808, 19796, 86.0696, 1
