global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward, end of game
0, 1, 0, 100, 1, 1, 1, 0.999, 100, 50, 0
1, 2, 2, 99, 0, 1, 1, 0.998081, 199, 66.3333, 0
2, 3, 2, 99, 2, 1, 1, 0.997162, 298, 74.5, 0
3, 4, 2, 130, 1, 1, 1, 0.996244, 428, 85.6, 1
4, 1, 0, 100, 0, 1, 1, 0.995327, 528, 88, 0
5, 2, 0, 99, 3, 1, 1, 0.994411, 627, 89.5714, 0
6, 3, 0, 0, 3, 1, 1, 0.993496, 627, 78.375, 1
7, 1, 0, 100, 0, 1, 1, 0.992581, 727, 80.7778, 0
8, 2, 0, 99, 1, 1, 1, 0.991668, 826, 82.6, 0
9, 3, 0, 90, 1, 1, 1, 0.990755, 916, 83.2727, 0
10, 4, 0, 90, 1, 1, 1, 0.989843, 1006, 83.8333, 0
11, 5, 0, 90, 2, 1, 1, 0.988932, 1096, 84.3077, 0
12, 6, 0, 130, 3, 1, 1, 0.988022, 1226, 87.5714, 1
13, 1, 0, 100, 0, 1, 1, 0.987112, 1326, 88.4, 0
14, 2, 0, 99, 2, 1, 1, 0.986204, 1425, 89.0625, 0
15, 3, 0, 0, 3, 1, 1, 0.985296, 1425, 83.8235, 1
16, 1, 0, 100, 0, 1, 0, 0.984389, 1525, 84.7222, 0
17, 2, 0, 99, 1, 1, 1, 0.983483, 1624, 85.4737, 0
18, 3, 0, 90, 3, 1, 1, 0.982578, 1714, 85.7, 0
19, 4, 0, 130, 1, 1, 1, 0.981674, 1844, 87.8095, 1
20, 1, 0, 100, 0, 1, 1, 0.98077, 1944, 88.3636, 0
21, 2, 0, 99, 1, 1, 1, 0.979867, 2043, 88.8261, 0
22, 3, 0, 90, 0, 1, 1, 0.978966, 2133, 88.875, 0
23, 4, 0, 90, 3, 1, 1, 0.978064, 2223, 88.92, 0
24, 5, 0, 130, 3, 1, 1, 0.977164, 2353, 90.5, 1
25, 1, 0, 100, 1, 1, 1, 0.976265, 2453, 90.8519, 0
26, 2, 2, 99, 2, 1, 1, 0.975366, 2552, 91.1429, 0
27, 3, 2, 90, 1, 1, 1, 0.974469, 2642, 91.1034, 0
28, 4, 2, 99, 1, 1, 1, 0.973572, 2741, 91.3667, 0
29, 5, 2, 99, 0, 1, 1, 0.972676, 2840, 91.6129, 0
30, 6, 2, 99, 2, 1, 1, 0.97178, 2939, 91.8438, 0
31, 7, 2, 130, 2, 1, 1, 0.970886, 3069, 93, 1
32, 1, 0, 100, 3, 1, 1, 0.969992, 3169, 93.2059, 0
33, 2, 0, 90, 2, 1, 1, 0.969099, 3259, 93.1143, 0
34, 3, 0, 90, 2, 1, 1, 0.968208, 3349, 93.0278, 0
35, 4, 0, 90, 3, 1, 1, 0.967316, 3439, 92.9459, 0
36, 5, 0, 90, 1, 1, 1, 0.966426, 3529, 92.8684, 0
37, 6, 1, 99, 3, 1, 1, 0.965537, 3628, 93.0256, 0
38, 7, 1, 90, 1, 1, 1, 0.964648, 3718, 92.95, 0
39, 8, 1, 99, 2, 1, 1, 0.96376, 3817, 93.0976, 0
40, 9, 1, 90, 1, 1, 1, 0.962873, 3907, 93.0238, 0
41, 10, 1, 99, 0, 1, 1, 0.961987, 4006, 93.1628, 0
42, 11, 1, 99, 2, 1, 1, 0.961101, 4105, 93.2955, 0
43, 12, 1, 0, 3, 1, 1, 0.960217, 4105, 91.2222, 1
44, 1, 0, 100, 2, 1, 1, 0.959333, 4205, 91.413, 0
45, 2, 0, 90, 1, 1, 1, 0.95845, 4295, 91.383, 0
46, 3, 2, 99, 0, 1, 1, 0.957568, 4394, 91.5417, 0
47, 4, 2, 99, 1, 1, 1, 0.956686, 4493, 91.6939, 0
48, 5, 2, 90, 1, 1, 1, 0.955806, 4583, 91.66, 0
49, 6, 2, 90, 1, 1, 1, 0.954926, 4673, 91.6275, 0
50, 7, 2, 90, 1, 1, 1, 0.954047, 4763, 91.5962, 0
51, 8, 2, 90, 0, 1, 1, 0.953169, 4853, 91.566, 0
52, 9, 2, 90, 2, 1, 1, 0.952292, 4943, 91.537, 0
53, 10, 2, 130, 3, 1, 1, 0.951415, 5073, 92.2364, 1
54, 1, 0, 100, 3, 1, 1, 0.95054, 5173, 92.375, 0
55, 2, 0, 90, 0, 1, 1, 0.949665, 5263, 92.3333, 0
56, 3, 0, 99, 2, 1, 1, 0.948791, 5362, 92.4483, 0
