global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward, end of game
0, 1, 0, 100, 1, 1, 1, 0.999, 100, 50, 0
1, 2, 2, 99, 0, 1, 1, 0.99891, 199, 66.3333, 0
2, 3, 2, 99, 2, 1, 1, 0.99882, 298, 74.5, 0
3, 4, 2, 130, 1, 1, 1, 0.99873, 428, 85.6, 1
4, 1, 0, 100, 0, 1, 1, 0.99864, 528, 88, 0
5, 2, 0, 99, 3, 1, 1, 0.998551, 627, 89.5714, 0
6, 3, 0, 0, 3, 1, 1, 0.998461, 627, 78.375, 1
7, 1, 0, 100, 0, 1, 1, 0.998371, 727, 80.7778, 0
8, 2, 0, 99, 1, 1, 1, 0.998281, 826, 82.6, 0
9, 3, 0, 90, 1, 1, 1, 0.998191, 916, 83.2727, 0
10, 4, 0, 90, 1, 1, 1, 0.998101, 1006, 83.8333, 0
11, 5, 0, 90, 2, 1, 1, 0.998011, 1096, 84.3077, 0
12, 6, 0, 130, 3, 1, 1, 0.997922, 1226, 87.5714, 1
13, 1, 0, 100, 0, 1, 1, 0.997832, 1326, 88.4, 0
14, 2, 0, 99, 2, 1, 1, 0.997742, 1425, 89.0625, 0
15, 3, 0, 0, 3, 1, 1, 0.997652, 1425, 83.8235, 1
16, 1, 0, 100, 1, 1, 1, 0.997562, 1525, 84.7222, 0
17, 2, 1, 99, 1, 1, 1, 0.997473, 1624, 85.4737, 0
18, 3, 2, 99, 1, 1, 1, 0.997383, 1723, 86.15, 0
19, 4, 1, 99, 2, 1, 1, 0.997293, 1822, 86.7619, 0
20, 5, 1, 90, 1, 1, 1, 0.997203, 1912, 86.9091, 0
21, 6, 1, 99, 0, 1, 1, 0.997114, 2011, 87.4348, 0
22, 7, 1, 99, 2, 1, 1, 0.997024, 2110, 87.9167, 0
23, 8, 1, 0, 0, 1, 1, 0.996934, 2110, 84.4, 1
24, 1, 0, 100, 2, 1, 1, 0.996844, 2210, 85, 0
25, 2, 0, 90, 1, 1, 1, 0.996755, 2300, 85.1852, 0
26, 3, 1, 99, 1, 1, 1, 0.996665, 2399, 85.6786, 0
27, 4, 1, 99, 0, 1, 1, 0.996575, 2498, 86.1379, 0
28, 5, 1, 99, 2, 1, 1, 0.996486, 2597, 86.5667, 0
29, 6, 1, 0, 3, 1, 1, 0.996396, 2597, 83.7742, 1
30, 1, 0, 100, 2, 1, 1, 0.996306, 2697, 84.2812, 0
31, 2, 0, 90, 0, 1, 1, 0.996217, 2787, 84.4545, 0
32, 3, 0, 99, 1, 1, 1, 0.996127, 2886, 84.8824, 0
33, 4, 0, 90, 2, 1, 1, 0.996037, 2976, 85.0286, 0
34, 5, 0, 0, 1, 1, 1, 0.995948, 2976, 82.6667, 1
35, 1, 0, 100, 1, 1, 1, 0.995858, 3076, 83.1351, 0
36, 2, 2, 99, 3, 1, 0, 0.995768, 3175, 83.5526, 0
37, 3, 2, 90, 1, 1, 1, 0.995679, 3265, 83.7179, 0
38, 4, 1, 99, 0, 1, 1, 0.995589, 3364, 84.1, 0
39, 5, 1, 99, 2, 1, 1, 0.995499, 3463, 84.4634, 0
