global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward, end of game
0, 1, 0, 100, 1, 1, 1, 0.999, 100, 50, 0
1, 2, 2, 99, 0, 1, 1, 0.998713, 199, 66.3333, 0
2, 3, 2, 99, 2, 1, 1, 0.998427, 298, 74.5, 0
3, 4, 2, 130, 1, 1, 1, 0.99814, 428, 85.6, 1
4, 1, 0, 100, 0, 1, 1, 0.997854, 528, 88, 0
5, 2, 0, 99, 3, 1, 1, 0.997567, 627, 89.5714, 0
6, 3, 0, 0, 3, 1, 1, 0.997281, 627, 78.375, 1
7, 1, 0, 100, 0, 1, 1, 0.996995, 727, 80.7778, 0
8, 2, 0, 99, 1, 1, 1, 0.996709, 826, 82.6, 0
9, 3, 0, 90, 1, 1, 1, 0.996423, 916, 83.2727, 0
10, 4, 0, 90, 1, 1, 1, 0.996137, 1006, 83.8333, 0
11, 5, 0, 90, 2, 1, 1, 0.995851, 1096, 84.3077, 0
12, 6, 0, 130, 3, 1, 1, 0.995565, 1226, 87.5714, 1
13, 1, 0, 100, 0, 1, 1, 0.995279, 1326, 88.4, 0
14, 2, 0, 99, 2, 1, 1, 0.994993, 1425, 89.0625, 0
15, 3, 0, 0, 3, 1, 1, 0.994708, 1425, 83.8235, 1
16, 1, 0, 100, 1, 1, 1, 0.994422, 1525, 84.7222, 0
17, 2, 1, 99, 1, 1, 1, 0.994137, 1624, 85.4737, 0
18, 3, 1, 99, 1, 1, 1, 0.993852, 1723, 86.15, 0
19, 4, 1, 99, 2, 1, 1, 0.993567, 1822, 86.7619, 0
20, 5, 1, 90, 1, 1, 1, 0.993281, 1912, 86.9091, 0
21, 6, 1, 99, 0, 1, 1, 0.992996, 2011, 87.4348, 0
22, 7, 1, 99, 2, 1, 1, 0.992711, 2110, 87.9167, 0
23, 8, 1, 0, 0, 1, 1, 0.992426, 2110, 84.4, 1
24, 1, 0, 100, 2, 1, 1, 0.992142, 2210, 85, 0
25, 2, 0, 90, 1, 1, 1, 0.991857, 2300, 85.1852, 0
26, 3, 1, 99, 1, 1, 1, 0.991572, 2399, 85.6786, 0
27, 4, 1, 99, 0, 1, 1, 0.991288, 2498, 86.1379, 0
28, 5, 1, 99, 2, 1, 1, 0.991003, 2597, 86.5667, 0
29, 6, 1, 0, 3, 1, 1, 0.990719, 2597, 83.7742, 1
30, 1, 0, 100, 2, 1, 1, 0.990434, 2697, 84.2812, 0
31, 2, 0, 90, 0, 1, 1, 0.99015, 2787, 84.4545, 0
32, 3, 0, 99, 1, 1, 1, 0.989866, 2886, 84.8824, 0
33, 4, 0, 90, 2, 1, 1, 0.989582, 2976, 85.0286, 0
34, 5, 0, 0, 1, 1, 1, 0.989298, 2976, 82.6667, 1
35, 1, 0, 100, 1, 1, 1, 0.989014, 3076, 83.1351, 0
36, 2, 1, 99, 3, 1, 0, 0.98873, 3175, 83.5526, 0
37, 3, 1, 90, 0, 1, 1, 0.988446, 3265, 83.7179, 0
38, 4, 1, 99, 0, 1, 1, 0.988163, 3364, 84.1, 0
39, 5, 1, 90, 3, 1, 1, 0.987879, 3454, 84.2439, 0
40, 6, 1, 130, 2, 1, 1, 0.987595, 3584, 85.3333, 1
41, 1, 0, 100, 3, 1, 1, 0.987312, 3684, 85.6744, 0
42, 2, 0, 90, 3, 1, 1, 0.987029, 3774, 85.7727, 0
43, 3, 0, 90, 1, 1, 1, 0.986745, 3864, 85.8667, 0
44, 4, 1, 99, 1, 1, 1, 0.986462, 3963, 86.1522, 0
45, 5, 1, 99, 2, 1, 1, 0.986179, 4062, 86.4255, 0
46, 6, 1, 90, 0, 1, 1, 0.985896, 4152, 86.5, 0
47, 7, 1, 99, 0, 1, 1, 0.985613, 4251, 86.7551, 0
48, 8, 1, 90, 2, 1, 1, 0.98533, 4341, 86.82, 0
49, 9, 1, 0, 0, 1, 1, 0.985047, 4341, 85.1176, 1
50, 1, 0, 100, 3, 1, 1, 0.984765, 4441, 85.4038, 0
51, 2, 0, 90, 3, 1, 1, 0.984482, 4531, 85.4906, 0
52, 3, 0, 90, 3, 1, 1, 0.9842, 4621, 85.5741, 0
53, 4, 0, 90, 2, 1, 1, 0.983917, 4711, 85.6545, 0
54, 5, 0, 90, 0, 1, 1, 0.983635, 4801, 85.7321, 0
55, 6, 0, 99, 1, 1, 1, 0.983352, 4900, 85.9649, 0
56, 7, 0, 90, 1, 1, 1, 0.98307, 4990, 86.0345, 0
57, 8, 0, 90, 1, 1, 1, 0.982788, 5080, 86.1017, 0
58, 9, 0, 90, 3, 1, 1, 0.982506, 5170, 86.1667, 0
59, 10, 0, 130, 0, 1, 1, 0.982224, 5300, 86.8852, 1
60, 1, 0, 100, 0, 1, 1, 0.981942, 5400, 87.0968, 0
61, 2, 0, 99, 0, 1, 1, 0.98166, 5499, 87.2857, 0
62, 3, 0, 90, 3, 1, 1, 0.981379, 5589, 87.3281, 0
63, 4, 0, 0, 2, 1, 1, 0.981097, 5589, 85.9846, 1
64, 1, 0, 100, 1, 1, 1, 0.980815, 5689, 86.197, 0
