global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward
0, 1, 0, 100, 1, 1, 1, 0.99, 100, 50
1, 2, 2, 99, 3, 1, 1, 0.99, 199, 66.3333
2, 3, 2, 90, 0, 1, 1, 0.99, 289, 72.25
3, 4, 2, 99, 1, 1, 1, 0.99, 388, 77.6
4, 5, 2, 90, 3, 1, 1, 0.99, 478, 79.6667
5, 6, 2, 130, 1, endgame, endgame, endgame, 608, 101.333
6, 1, 0, 100, 3, 1, 1, 0.99, 100, 50
7, 2, 0, 90, 0, 1, 1, 0.99, 190, 63.3333
8, 3, 0, 99, 0, 1, 1, 0.99, 289, 72.25
9, 4, 0, 90, 3, 1, 1, 0.99, 379, 75.8
10, 5, 0, 0, 1, endgame, endgame, endgame, 379, 75.8
11, 1, 0, 100, 1, 1, 1, 0.99, 100, 50
12, 2, 2, 99, 2, 1, 1, 0.99, 199, 66.3333
13, 3, 2, 90, 3, 1, 1, 0.99, 289, 72.25
14, 4, 2, 90, 1, 1, 1, 0.99, 379, 75.8
15, 5, 1, 99, 2, 1, 1, 0.99, 478, 79.6667
16, 6, 1, 90, 3, 1, 1, 0.99, 568, 81.1429
17, 7, 1, 90, 0, 1, 1, 0.99, 658, 82.25
18, 8, 1, 99, 2, 1, 1, 0.99, 757, 84.1111
19, 9, 1, 130, 1, endgame, endgame, endgame, 887, 98.5556
20, 1, 0, 100, 1, 1, 1, 0.99, 100, 50
21, 2, 2, 99, 1, 1, 1, 0.99, 199, 66.3333
22, 3, 2, 99, 3, 1, 1, 0.99, 298, 74.5
23, 4, 2, 90, 1, 1, 1, 0.99, 388, 77.6
24, 5, 1, 99, 0, 1, 1, 0.99, 487, 81.1667
25, 6, 1, 99, 1, 1, 1, 0.99, 586, 83.7143
26, 7, 1, 90, 2, 1, 1, 0.99, 676, 84.5
27, 8, 1, 0, 1, endgame, endgame, endgame, 676, 84.5
28, 1, 0, 100, 1, 1, 1, 0.99, 100, 50
29, 2, 1, 99, 3, 1, 1, 0.99, 199, 66.3333
30, 3, 1, 90, 1, 1, 1, 0.99, 289, 72.25
31, 4, 2, 99, 1, 1, 1, 0.99, 388, 77.6
32, 5, 1, 99, 3, 1, 1, 0.99, 487, 81.1667
33, 6, 1, 90, 1, 1, 1, 0.99, 577, 82.4286
34, 7, 1, 99, 2, 1, 1, 0.99, 676, 84.5
35, 8, 1, 90, 3, 1, 1, 0.99, 766, 85.1111
36, 9, 1, 90, 3, 1, 1, 0.99, 856, 85.6
37, 10, 1, 90, 0, 1, 1, 0.99, 946, 86
38, 11, 1, 99, 0, 1, 1, 0.99, 1045, 87.0833
39, 12, 1, 90, 3, 1, 1, 0.99, 1135, 87.3077
40, 13, 1, 0, 1, endgame, endgame, endgame, 1135, 87.3077
