global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward, end of game
0, 1, 0, 100, 1, 1, 1, 0.999, 100, 50, 0
1, 2, 2, 99, 3, 1, 1, 0.998856, 199, 66.3333, 0
2, 3, 2, 90, 0, 1, 1, 0.998712, 289, 72.25, 0
3, 4, 2, 99, 1, 1, 1, 0.998568, 388, 77.6, 0
4, 5, 2, 90, 3, 1, 1, 0.998425, 478, 79.6667, 0
5, 6, 2, 130, 3, 1, 1, 0.998281, 608, 86.8571, 1
6, 1, 0, 100, 0, 1, 1, 0.998137, 708, 88.5, 0
7, 2, 0, 99, 0, 1, 1, 0.997993, 807, 89.6667, 0
8, 3, 0, 90, 3, 1, 1, 0.99785, 897, 89.7, 0
9, 4, 0, 130, 3, 1, 1, 0.997706, 1027, 93.3636, 1
10, 1, 0, 100, 2, 1, 1, 0.997562, 1127, 93.9167, 0
11, 2, 0, 90, 3, 1, 1, 0.997419, 1217, 93.6154, 0
12, 3, 0, 90, 3, 1, 0, 0.997275, 1307, 93.3571, 0
13, 4, 0, 90, 1, 1, 1, 0.997131, 1397, 93.1333, 0
14, 5, 1, 99, 3, 1, 1, 0.996988, 1496, 93.5, 0
15, 6, 1, 90, 2, 1, 1, 0.996844, 1586, 93.2941, 0
16, 7, 1, 90, 1, 1, 1, 0.996701, 1676, 93.1111, 0
17, 8, 2, 99, 0, 1, 1, 0.996557, 1775, 93.4211, 0
18, 9, 2, 99, 3, 1, 1, 0.996414, 1874, 93.7, 0
19, 10, 2, 130, 0, 1, 1, 0.99627, 2004, 95.4286, 1
20, 1, 0, 100, 0, 1, 1, 0.996127, 2104, 95.6364, 0
21, 2, 0, 99, 3, 1, 1, 0.995983, 2203, 95.7826, 0
22, 3, 0, 130, 2, 1, 1, 0.99584, 2333, 97.2083, 1
23, 1, 0, 100, 2, 1, 1, 0.995697, 2433, 97.32, 0
24, 2, 0, 90, 1, 1, 1, 0.995553, 2523, 97.0385, 0
25, 3, 2, 99, 2, 1, 1, 0.99541, 2622, 97.1111, 0
26, 4, 2, 90, 1, 1, 1, 0.995266, 2712, 96.8571, 0
27, 5, 1, 99, 0, 1, 1, 0.995123, 2811, 96.931, 0
28, 6, 1, 99, 0, 1, 1, 0.99498, 2910, 97, 0
29, 7, 1, 90, 1, 1, 1, 0.994837, 3000, 96.7742, 0
30, 8, 1, 90, 1, 1, 1, 0.994693, 3090, 96.5625, 0
31, 9, 1, 90, 2, 1, 1, 0.99455, 3180, 96.3636, 0
32, 10, 1, 0, 1, 1, 1, 0.994407, 3180, 93.5294, 1
33, 1, 0, 100, 1, 1, 1, 0.994264, 3280, 93.7143, 0
34, 2, 1, 99, 1, 1, 1, 0.99412, 3379, 93.8611, 0
35, 3, 1, 99, 2, 1, 1, 0.993977, 3478, 94, 0
36, 4, 1, 90, 3, 1, 1, 0.993834, 3568, 93.8947, 0
37, 5, 1, 90, 2, 1, 1, 0.993691, 3658, 93.7949, 0
38, 6, 1, 90, 0, 1, 1, 0.993548, 3748, 93.7, 0
39, 7, 1, 99, 3, 1, 1, 0.993405, 3847, 93.8293, 0
40, 8, 1, 0, 2, 1, 1, 0.993262, 3847, 91.5952, 1
41, 1, 0, 100, 2, 1, 1, 0.993119, 3947, 91.7907, 0
42, 2, 0, 90, 0, 1, 1, 0.992976, 4037, 91.75, 0
43, 3, 0, 99, 1, 1, 1, 0.992833, 4136, 91.9111, 0
44, 4, 0, 90, 1, 1, 1, 0.99269, 4226, 91.8696, 0
45, 5, 0, 90, 1, 1, 1, 0.992547, 4316, 91.8298, 0
46, 6, 0, 90, 2, 1, 1, 0.992404, 4406, 91.7917, 0
47, 7, 0, 130, 0, 1, 0, 0.992261, 4536, 92.5714, 1
48, 1, 0, 100, 0, 1, 1, 0.992118, 4636, 92.72, 0
49, 2, 0, 99, 1, 1, 1, 0.991975, 4735, 92.8431, 0
50, 3, 0, 90, 1, 1, 1, 0.991833, 4825, 92.7885, 0
51, 4, 0, 90, 0, 1, 1, 0.99169, 4915, 92.7358, 0
52, 5, 0, 90, 3, 1, 1, 0.991547, 5005, 92.6852, 0
53, 6, 0, 130, 3, 1, 1, 0.991404, 5135, 93.3636, 1
54, 1, 0, 100, 3, 1, 1, 0.991261, 5235, 93.4821, 0
55, 2, 0, 90, 3, 1, 1, 0.991119, 5325, 93.4211, 0
56, 3, 0, 90, 0, 1, 1, 0.990976, 5415, 93.3621, 0
57, 4, 0, 99, 2, 1, 1, 0.990833, 5514, 93.4576, 0
58, 5, 0, 130, 1, 1, 1, 0.990691, 5644, 94.0667, 1
59, 1, 0, 100, 1, 1, 1, 0.990548, 5744, 94.1639, 0
60, 2, 2, 99, 1, 1, 1, 0.990405, 5843, 94.2419, 0
61, 3, 2, 99, 1, 1, 1, 0.990263, 5942, 94.3175, 0
62, 4, 2, 99, 2, 1, 1, 0.99012, 6041, 94.3906, 0
63, 5, 2, 90, 2, 1, 1, 0.989977, 6131, 94.3231, 0
64, 6, 2, 90, 3, 1, 1, 0.989835, 6221, 94.2576, 0
65, 7, 2, 90, 3, 1, 1, 0.989692, 6311, 94.194, 0
66, 8, 2, 90, 3, 1, 1, 0.98955, 6401, 94.1324, 0
67, 9, 2, 90, 1, 1, 1, 0.989407, 6491, 94.0725, 0
68, 10, 1, 99, 0, 1, 1, 0.989265, 6590, 94.1429, 0
69, 11, 1, 99, 2, 1, 1, 0.989122, 6689, 94.2113, 0
70, 12, 1, 130, 3, 1, 1, 0.98898, 6819, 94.7083, 1
71, 1, 0, 100, 0, 1, 1, 0.988838, 6919, 94.7808, 0
72, 2, 0, 99, 1, 1, 1, 0.988695, 7018, 94.8378, 0
73, 3, 0, 90, 3, 1, 1, 0.988553, 7108, 94.7733, 0
74, 4, 0, 0, 2, 1, 1, 0.98841, 7108, 93.5263, 1
75, 1, 0, 100, 0, 1, 1, 0.988268, 7208, 93.6104, 0
76, 2, 0, 99, 3, 1, 1, 0.988126, 7307, 93.6795, 0
77, 3, 0, 130, 0, 1, 1, 0.987983, 7437, 94.1392, 1
78, 1, 0, 100, 0, 1, 1, 0.987841, 7537, 94.2125, 0
79, 2, 0, 99, 3, 1, 1, 0.987699, 7636, 94.2716, 0
80, 3, 0, 0, 1, 1, 1, 0.987557, 7636, 93.122, 1
81, 1, 0, 100, 3, 1, 1, 0.987415, 7736, 93.2048, 0
82, 2, 0, 90, 2, 1, 1, 0.987272, 7826, 93.1667, 0
83, 3, 0, 90, 3, 1, 1, 0.98713, 7916, 93.1294, 0
84, 4, 0, 90, 1, 1, 1, 0.986988, 8006, 93.093, 0
